Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Least developed countries: UN classification,LDC,"Air transport, passengers carried",IS.AIR.PSGR,,,,,,,,,,,2730800,3045500,3129100,3816800,3969800,4109300,4915900,4914900,5137300,6108400,6523600,6950300,7312600,7409200,7523200,7435400,7538000,7636500,8540800,7582400,7938100,7118600,7276500,7153600,7692600,7232500,7555500,7504600,7592400,7481600,7519592,7376767,7353416,7488367,9016368,9759330,10367147,10789341,11030568,11557669,17654275.92,21331556.22,22107026.96,24484619.15,25368159.47,25261970,26570744,32239144.63,38126472.41,36685985.81,16979803.79,21218687.43
Low income,LIC,"Air transport, passengers carried",IS.AIR.PSGR,,,,,,,,,,,1540000,1695700,1602400,1614000,1926000,2167900,2767300,2962600,3098100,3403500,3633600,3754500,3798200,3853000,3852300,3388100,3632500,3561200,3699200,3654900,4050600,3473700,3679900,3640300,3774000,3418500,3721600,3689700,3718500,3739600,3831665,3612549,,,,,,,,,8414514.135,9727355.848,8736330.995,9143844,8444757.159,5792888,5511797,6353144.08,6322238.468,6059516.686,3086754.252,4851947.427
Liechtenstein,LIE,"Air transport, passengers carried",IS.AIR.PSGR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sri Lanka,LKA,"Air transport, passengers carried",IS.AIR.PSGR,,,,,,,,,,,104600,116000,116000,108500,107700,117300,127700,181000,100000,105300,235000,405200,572700,616500,681300,698600,611400,586900,694300,744500,891800,892700,1045600,993800,1066800,1155700,1170700,1231900,1212500,1421500,1755567,1718331,1740807,1957606,2412889,2817778,3100832,3206766,2951506,2417713,3008322.692,3665394,4616417,4793393.4,4756131,4911730,5284585,5403577,5882376,5582446,1240391,871685
Lower middle income,LMC,"Air transport, passengers carried",IS.AIR.PSGR,,,,,,,,,,,12619700,12028300,12698100,14207200,14782000,16965700,19503600,21510200,24668200,27104700,28744300,31666300,33493900,35453000,36706100,39110400,38651100,40458900,42749800,42030700,40715200,39566600,46704700,44765500,48845100,52611300,51802100,57443100,56268800,55412300,57819859,58591849,57936625,59350319,69974776,77532883,92479622,108805080,111835324,117471182,159652958.2,180352554.5,184963765.2,192022862.9,214627823.7,242140759,276464837,305346465.9,346975005.2,360683101.8,148092749.6,153270066.5
Low & middle income,LMY,"Air transport, passengers carried",IS.AIR.PSGR,,,,,,,,,,,,,,,53367500,61298000,69772700,76332400,84964700,94999800,101474800,107445600,111797700,116078500,123083100,128384700,136256000,144688400,152943700,153227600,163020000,163206700,193825400,196272300,218760300,238670600,251562800,262597700,264779400,265585600,285890632,307403357,311612159,322466212,395495976,431032196,478293338,536202896,560245009,613868168,809161372.1,901809031.6,972327022.7,1057526690,1148644544,1262946792,1379605106,1528425726,1672712175,1724105591,836329275.3,926227910.1
Lesotho,LSO,"Air transport, passengers carried",IS.AIR.PSGR,,,,,,,,,,,,,,,10000,10000,11000,11000,40000,52000,36300,36600,54800,61000,48700,50700,55300,60900,63000,53300,56000,56000,26100,20500,26600,24800,17100,10500,28200,1300,,,,,,,,,,,,,,,,,,,,,,
Late-demographic dividend,LTE,"Air transport, passengers carried",IS.AIR.PSGR,,,,,,,,,,,,,,,24637200,27412300,30153500,32162100,35456000,40432600,42895300,45741200,48636300,48639000,51251500,55201400,63012500,68463800,76750800,76969300,84784000,218048600,169668800,149063500,156855000,173392100,178597200,184906800,187098700,199593400,216639000,237815480,258940139,271040893,331760561,347642313,384756400,444476143,485748645,572829124,685670532.1,761255355.4,830069110.5,907272787.7,985686600.9,1088963002,1190947049,1323673354,1434010524,1516126027,741617825.5,823261040.5
Lithuania,LTU,"Air transport, passengers carried",IS.AIR.PSGR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,557200,149700,194500,209900,214000,236800,258900,249600,283836,304051,303865,329271,447883,505409,429657,423585,609847,616514,81450,69445,592996,1009728,1274911,1363946,1046012,1069268,26031,40944,35027,11289
Luxembourg,LUX,"Air transport, passengers carried",IS.AIR.PSGR,,,,,,,,,,,167000,250000,211300,218100,220600,230000,250000,260000,290000,300000,161500,163200,203700,224100,243200,239400,247700,272900,293900,296000,409300,405700,460600,470500,532500,569700,639100,559800,701400,842700,870831,885852,822533,853903,855840,851136,927738,1039067,1059848,681482,786920,785200,781146,1555788,1710624,1830972,1845726,1901012,2099102,2114417,753114,1081478
Latvia,LVA,"Air transport, passengers carried",IS.AIR.PSGR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65700,111200,167000,173000,275900,229100,229100,196200,278396,255392,264991,339747,593662,1032128,1409620,1344912,1371810,1301848,3158051,3299391,2888683,2754720,2636612.759,2527368,2843133,3441024,4058762,4976410,1323070,1598685
"Macao SAR, China",MAC,"Air transport, passengers carried",IS.AIR.PSGR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1532189,1706332,1728004,1211797,1800237,2040654,2285750,2393294,1866141,1427324,1329721,1327732,1561850,1767100,2078758,2276436,2788571,2776815,3157724,3659911,544411,698047
St. Martin (French part),MAF,"Air transport, passengers carried",IS.AIR.PSGR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Morocco,MAR,"Air transport, passengers carried",IS.AIR.PSGR,,,,,,,,,,,289500,362000,410300,486500,509600,672900,808900,1047200,1131700,1153800,947400,929600,974100,932200,1000700,1113900,1095500,1187400,1267300,1360800,1580000,1429700,2169000,2139600,2183900,2147200,2301200,2638400,3012000,3392100,3671317,3680688,3049154,2638314,3004353,3492984,4109489,4623543,4927341,4930683,7144446,7502696.745,6563646.676,6507408,6976810,7043971,7738637,8667392,8132917,9380951,3012310,4740714
Monaco,MCO,"Air transport, passengers carried",IS.AIR.PSGR,,,,,,,,,,,,,,,,,,,,,44000,44000,44000,44000,73200,73800,37500,40000,40000,42500,42500,42500,44000,44000,44000,44000,44000,44000,43800,75200,82764,77798,104255,94563,83916,87523,95721,101753,84660,63876,59658,63186,65404.36364,64524,64188,60382,12137,316,316,316,,
Moldova,MDA,"Air transport, passengers carried",IS.AIR.PSGR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,571100,312300,312300,169500,190000,46400,118000,43000,117532,120125,129377,179084,200615,231985,273810,314361,401199,402423,479457,540679,543872,557653,692496,1005936,936254,1092606,1423791,1408166,306631.727,528581
Madagascar,MDG,"Air transport, passengers carried",IS.AIR.PSGR,,,,,,,,,,,168000,197700,201100,217800,230700,203100,262000,292200,335800,407500,447700,444900,410200,347300,360000,350800,355900,410600,387000,342400,424200,314300,343900,418500,450700,497200,542100,574900,600500,639800,629409,657953,266033,451729,513508,574904,572991,616433,558981,499526,524296,544100.7273,588169,539208,520421,458572,441861,486425,541290,544458,186314.332,109461.4
Maldives,MDV,"Air transport, passengers carried",IS.AIR.PSGR,,,,,,,,,,,,,,,,7000,10000,13000,20000,25000,27000,33800,34000,38000,40000,60000,65000,8400,8400,8400,9400,9400,9400,9400,38500,158600,206900,188900,247200,261100,315108,56216,57902,60218,75875,81945,93417,92483,91096,85448,,,,,1024693.845,1313533,1409704,1485752,1191383.083,1221786.675,292931,277881.434
"Middle East, North Africa, Afghanistan & Pakistan",MEA,"Air transport, passengers carried",IS.AIR.PSGR,,,,,,,,,,,6723400,7611900,8259000,9589700,11741600,14567600,18921400,22674200,26302000,28254000,30964100,31906700,34366400,37163100,39159200,38887400,38398800,40263700,41732000,43562400,44349600,41830700,47030600,47931200,50982800,51569000,55243600,59697900,59180500,62414200,65097780,74002907,68496777,77738714,83658381,66795878,72353506,76662118,76676642,119577470,159660254.6,170491595,185049292.1,198775778.2,214782513.1,227397945,250739334,266850504.8,272712361.9,284913666.1,96419409.68,121253526.3
Mexico,MEX,"Air transport, passengers carried",IS.AIR.PSGR,,,,,,,,,,,2966600,3107300,3962000,4589600,5501500,6522900,7675700,8238200,9387700,11381500,12889800,13853300,12777300,13923500,14440200,15364400,13824500,13504900,11412300,12689000,14341300,14901000,15532200,16484800,18791400,14968800,14677700,17266500,17717400,20561100,20894205,20172824,19618662,20661206,21167881,21857658,21243010,20952513,18825976,15728171,31269061,29538937,32909408.72,35986501.82,39570522,46966763,53313307,58537832,64569640,69937838,34133108,54217876
Marshall Islands,MHL,"Air transport, passengers carried",IS.AIR.PSGR,,,,,,,,,,,,,,,,,,,,,,,,,,,,32000,33800,36300,66400,66300,96000,43500,41900,45800,41300,33100,32000,33100,16109,18805,24592,27471,28970,25789,30232,29980,29530,27692,,,,,,,,22435,24313,21500,25563,30115
Middle income,MIC,"Air transport, passengers carried",IS.AIR.PSGR,,,,,,,,,,,,,,,51441500,59130100,67005400,73369800,81866600,91596300,97841200,103691100,107999500,112225500,119230800,124996600,132623500,141127200,149244500,149572700,158969400,159733000,190145500,192632000,214986300,235252100,247841200,258908000,261060900,261846000,282058967,303790808,308562584,319269612,391684880,426910284,473994301,531677111,555749753,609455454,800746858,892081675.8,963590691.7,1048382846,1140199787,1257153904,1374093309,1522072582,1666389937,1718046074,833242521.1,921375962.6
North Macedonia,MKD,"Air transport, passengers carried",IS.AIR.PSGR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,187500,203000,215000,287300,228900,488900,506100,599012,315450,165735,200959,210875,191977,209255,234366,196420,86868,,,,,,,,,,,,
Mali,MLI,"Air transport, passengers carried",IS.AIR.PSGR,,,,,,,,,,,39200,39000,44000,46900,49800,50500,59400,61400,57000,66000,71000,71000,79000,77000,70000,61000,69000,4000,,,,,66300,68200,69200,74100,75100,85500,90500,83900,77273,46364,,,,,,,,,303692,363857.3759,181742.6142,33444,0,,,,,,,
Malta,MLT,"Air transport, passengers carried",IS.AIR.PSGR,,,,,,,,,,,127800,110800,102100,140600,152500,205200,221100,255300,351600,382000,401500,397900,401700,366300,364100,384100,411300,429400,480600,506500,597800,648600,692500,797000,1002500,1065900,1037500,1054300,1159400,1421300,1364904,1340031,1398990,1309119,1365223,1371865,1495333,1674773,1708268,1992900,1699829,1673765,1535101,1603404,1588165,1583046,1500824,1575125,2576898,2382607.8,549318.545,597724
Myanmar,MMR,"Air transport, passengers carried",IS.AIR.PSGR,,,,,,,,,,,345800,380500,393000,405000,388300,391300,396000,410000,425000,460000,481000,500000,515000,517000,487000,509000,511000,512000,516000,308000,318500,318500,318500,318500,318500,334500,334500,334500,333200,536800,437600,398216,1186162,1117208,1392244,1503624,1620895,1662866,1637923,1527346,924207,1539676,1663425.435,1572120,1926969,2095503,2741388,3149037,3407788.433,3701663.849,1506581.713,1132655.764
"Middle East, North Africa, Afghanistan & Pakistan (excluding high income)",MNA,"Air transport, passengers carried",IS.AIR.PSGR,,,,,,,,,,,4996400,5307900,5547100,6513700,8064400,10156200,12435100,14248200,15815100,15807700,16675900,17213000,18592200,20606100,21565200,21586300,21886400,23019900,24417200,25487200,26390100,24135100,25831400,24870400,25919700,26426300,28587500,32309900,30738600,31095600,31544038,40091314,30929333,37322138,35566121,36624267,39971463,41644664,41470684,43324788,61357712.77,62510145.68,60685403.42,63599011.23,64250755.09,61012644,67306499,75565653.79,75246086.92,77266751.25,31123156.25,39460765.32
Montenegro,MNE,"Air transport, passengers carried",IS.AIR.PSGR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,121737,,287111,337046,383140,,,,,659355.4148,523356,544519,528852,503040,526980,544597,507637,565522,597380,,1589.285
Mongolia,MNG,"Air transport, passengers carried",IS.AIR.PSGR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,615700,590600,630000,630000,661500,661500,240200,239700,224700,253917,255298,269886,294880,310158,295252,347998,380708,364470,257233,391188,496649.1077,626469.9665,585864,683254,529311,537853,602775,670360,744413,143860,61614
Northern Mariana Islands,MNP,"Air transport, passengers carried",IS.AIR.PSGR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mozambique,MOZ,"Air transport, passengers carried",IS.AIR.PSGR,,,,,,,,,,,,,,,,119500,248900,225200,266400,273000,282200,291500,391100,404700,325200,207700,226400,210600,235000,242900,279500,282800,224700,206200,220700,168200,163400,188400,200700,234800,259568,264216,281513,280516,293873,346830,350314,443010,461125,490019,558192,577019.8145,559608.7957,701472,739636.7441,676028,632965,569211,540124,587364,327742,411739
Mauritania,MRT,"Air transport, passengers carried",IS.AIR.PSGR,,,,,,,,,,,84500,68400,65900,72700,78300,84500,94400,105400,117200,124300,141100,144100,147300,148500,201700,213800,233400,216100,216100,220400,222700,212700,212700,214600,215600,227900,234800,245200,249600,187400,185061,155687,105541,116136,128329,138595,149188,154662,153895,142355,524817.8947,381075.9236,325239.5236,261696,271212,248158,280215,418817,379211,386621,100904,207225
Mauritius,MUS,"Air transport, passengers carried",IS.AIR.PSGR,,,,,,,,,,,23000,24200,25200,24000,28000,30000,33000,30100,55000,82300,83700,102200,106400,122900,155000,182800,199700,285400,383700,423800,519700,525300,578100,581900,635900,675800,716900,803900,847500,823200,949085,1002282,1029466,1042773,1088696,1145737,1056496,1277957,1256746,1092580,1265458,1321491,1313976,1318052,1354388,1466527,1593666,1674395,1745291,1726868,407291,153242
Malawi,MWI,"Air transport, passengers carried",IS.AIR.PSGR,,,,,,,,,,,51700,66100,74700,90400,98300,122400,93700,100300,106400,111700,94000,107600,130300,96900,127000,140400,140200,114200,115800,121200,120300,120100,121400,132100,141600,148700,152500,158300,157700,112300,115831,112560,104711,108854,122477,132275,145747,154837,159917,157007,91520.1894,82709.54499,53518.998,5856,5856,6011,6744,10545,10545,7117,1792.164,1290.356
Malaysia,MYS,"Air transport, passengers carried",IS.AIR.PSGR,,,,,,,,,,,748900,875100,1015600,1864400,2331900,2503600,2671000,2864700,3096000,3489500,4516400,5347700,5241700,5360900,5685400,5687000,6310500,7396100,7683600,8694600,10241500,11837400,12756900,13101300,14249800,15417800,15117600,15591600,13654400,14984600,16560793,16107156,16281275,16704600,19226564,20369086,17833364,21325754,22420870,23766316,34239014.17,38218608.85,39165195.22,47995842,49673884,50345820,53817353,58711937,60481772,63623130,15893988,4965360.963
North America,NAC,"Air transport, passengers carried",IS.AIR.PSGR,,,,,,,,,,,173629292,184390404,202953908,216936000,223979900,221613300,239850396,257611392,291497504,334470400,317782088,303183500,310646408,333707996,359574088,391747504,434932996,461779204,476582312,474435304,485175416,468602404,483783292,487442612,533028800,553803196,593928000,614552892,612824180,658966608,707095388,662639760,621733444,624881527,718811915,765777598,772257943,796405857,755498308,732006924,783774409.4,796874012,807166400.8,814697725.9,838238607,878450302,909445425,940807001,980528000,1020089000,397121000,691104000
Namibia,NAM,"Air transport, passengers carried",IS.AIR.PSGR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,455000,163200,178700,198800,224600,236800,214500,213700,214100,247147,215237,222009,265655,282915,399280,400947,430741,452167,454855,485849,540867.9,632330.085,510000,522216,553322,558713,623076,602893,212578,62262.67,2245.772
New Caledonia,NCL,"Air transport, passengers carried",IS.AIR.PSGR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Niger,NER,"Air transport, passengers carried",IS.AIR.PSGR,,,,,,,,,,,54700,56700,52900,57600,63500,69000,75400,83400,94200,99300,111100,114100,116300,117500,117700,73500,120000,111700,111300,74000,76300,66300,66300,68200,69200,74100,75100,85500,90500,83900,77273,46364,,,,,,,,,0,0,119652,87936,13227.5,15243,15044,14713,,,,15019.2
Nigeria,NGA,"Air transport, passengers carried",IS.AIR.PSGR,,,,,,,,,,,173000,227100,286800,314100,430300,590400,800800,1093900,1441000,1581300,1938500,2300200,2138400,2221300,1945900,2575000,2134000,1614400,995000,848900,964800,930000,646500,608400,664800,547900,221200,318200,313400,419700,507396,519453,520278,520263,540461,747648,1307541,1363435,1460900,1365343,4197375,4793913.274,4716148.081,4209624,4462001.63,4613169,4110075,4789878,7786143.994,6539048.353,3435350.518,4486313.422
Nicaragua,NIC,"Air transport, passengers carried",IS.AIR.PSGR,,,,,,,,,,,107100,137500,144000,77500,81000,85000,89000,110000,110000,145000,115000,97000,100000,95000,85000,90000,80900,85000,86500,109500,129600,129600,159200,34000,43800,48200,51300,51300,51100,58700,61031,,,,,,,,,,,,,,,,,,,,,
Netherlands,NLD,"Air transport, passengers carried",IS.AIR.PSGR,,,,,,,,,,,2881100,3012300,3275800,3682400,3627100,3827700,4080900,4452000,4718300,4918900,4983800,5058000,5201900,5278900,5654900,6027700,6382000,7403400,7860100,8253400,8559400,8893200,10087800,11774600,12894800,16377900,17114300,17889900,18675500,19741200,20898713,20072980,22931166,23454932,25595676,26132696,27454451,28857440,29601230,29108547,26979676.63,29959476.4,31672223.98,33455251,33956338,35687843,40078714,42763443,44417573.58,46358457.95,14748517.33,19349165.53
Norway,NOR,"Air transport, passengers carried",IS.AIR.PSGR,,,,,,,,,,,2412300,2791600,3101600,3342600,3367500,3530400,3853500,4192500,4487400,4866900,4804400,4979400,5210400,5610800,6113900,6799700,7485200,8146000,8261000,8300000,8928500,8857300,9661200,10383600,11133100,11695500,12727300,13759000,14291500,15009600,15182305,14556181,13699204,12805757,12277222,,,,,,,,,,,,,,,,,
Nepal,NPL,"Air transport, passengers carried",IS.AIR.PSGR,,,,,,,,,,,203400,217900,232000,250000,263000,219700,248300,255000,270000,416500,379900,364500,400200,363700,395500,422000,436200,408800,987800,679100,679000,633900,648800,633100,682600,716700,755000,755000,753600,582600,643332,641142,352544,356369,444691,480266,509792,528226,520303,484394,917939,901116.1179,776864.1216,643140,517548,510342,634292,2443630.512,4525805,1659671,1989284,2550505
Nauru,NRU,"Air transport, passengers carried",IS.AIR.PSGR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,210424,30195.52105,34884.32689,19334.84785,16488,34572,38859,47252,45457,40290,50668,9356,3344
New Zealand,NZL,"Air transport, passengers carried",IS.AIR.PSGR,,,,,,,,,,,1862000,1923800,2084300,2544400,2961300,3047400,3023200,3198500,3399500,3807300,3497500,3316100,3073900,3222000,3764900,4158600,4527300,4812300,5093600,5723500,5865600,5370800,5784400,6290800,7716100,7676600,9597000,9435400,8654900,9565600,10781314,11467023,11285424,12259437,11305401,11951935,12382205,12545766,12950904,12104116,13295185,13747024.21,13937353.94,14434056,13618712,14385078,15300409,16271523,17249049.95,17763604.46,8516619.501,8729634.719
OECD members,OED,"Air transport, passengers carried",IS.AIR.PSGR,,,,,,,,,,,276589892,296537504,327004108,356798200,369035400,371410200,401309296,434540092,487082104,547918000,531814388,524004700,532905608,560323496,598958588,644682604,694577696,746656404,782184012,810093200,846937916,826639404,873450392,893611716,971255004,1021039596,1099596504,1151287192,1159476480,1245629100,1333236717,1283609610,1247264642,1278025311,1413357107,1475137918,1523845112,1594664421,1561688255,1516777735,1714226706,1767775671,1813901530,1880658281,1959633536,2082857593,2190437625,2295787113,2413352568,2504574292,872244225.3,1302098735
Oman,OMN,"Air transport, passengers carried",IS.AIR.PSGR,,,,,,,,,,,,,,,127500,173000,240100,299800,374500,456500,521500,577800,569800,601800,674200,717500,647400,699200,776400,834800,852900,957500,1081100,1180000,1511800,1452900,1620200,1678400,1849300,1933100,2118338,1980076,2103559,2777424,3267088,,,,,2360682,3262849,3795755,4430383,4994729,5051804,6365784,7709851,9035230,10438241,11239996,2496069,2075390
Other small states,OSS,"Air transport, passengers carried",IS.AIR.PSGR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3666100,3667300,4003900,4436800,5406200,5867800,6062800,6489600,7073200,7049200,7414785,7399883,,7805487,8909456,9268666,,,,,,,,,,,,,16978786.64,13862604.48,,
Pakistan,PAK,"Air transport, passengers carried",IS.AIR.PSGR,,,,,,,,,,,1335900,1085600,625200,805200,1047700,1451800,1947400,2303700,2656300,2773100,3029200,3096800,3328800,3466900,3641900,3839400,4127200,4434400,4889400,5009000,5180200,5197700,5680600,5647100,5663700,5342600,5375000,5882500,5414100,5850000,5293541,6011849,4141009,4522110,5097477,5364134,5714831,5439144,5605758,5303268,6588114,7940545.076,7973906.361,7833901.088,7670348.185,8467827,9628354,7260769,6880637,7420378.249,3711456.87,4930661.98
Panama,PAN,"Air transport, passengers carried",IS.AIR.PSGR,,,,,,,,,,,307400,337200,316200,217500,275700,357100,374100,347400,365700,381300,355200,309200,332200,323400,371600,390300,364200,370800,382000,372500,265800,342700,282700,320500,519900,661200,688800,772200,859900,932500,1117411,1114727,1047843,1416071,1500673,1795958,2028711,2473261,2762458,6348000,5524157.43,6380080.184,7517581.277,11656416,11812712.84,12193261,13285098,11975372,12631703,12497758,3074172,8208378
Peru,PER,"Air transport, passengers carried",IS.AIR.PSGR,,,,,,,,,,,390500,263700,525300,590000,1116900,1335200,1439200,1425000,1449000,1686100,1980100,1777100,1739700,1698200,1616800,1563900,2152900,3009000,2737100,1854300,1816200,1490600,1217600,1362400,1894900,2508300,2327500,2724500,2774500,1900000,1595268,2248991,2085823,2226329,3225128,4332223,4217880,5273188,6184410,5843195,7106025.293,8609620.354,10074855.61,12255937.76,12284677,13877662,15081755,16094150,17758527.27,18820572,5705074,9053965
Philippines,PHL,"Air transport, passengers carried",IS.AIR.PSGR,,,,,,,,,,,2369000,2070900,2123900,2349600,2525100,2758400,2815700,3021100,3411600,3474900,3245600,3542700,3866900,4319800,4394000,4610400,4879600,5247300,5719500,5715200,5638700,5438100,6136500,6526200,6851500,7179600,7263100,7474600,6731600,5024000,5756288,6416383,6449022,6457529,7387965,8056829,8304634,8818150,9508389,10480898,22575356,26326620.76,28540727.36,25540880,34897404,37023422,40206684,39341995,43080118,47776892,10613531,6886922
Palau,PLW,"Air transport, passengers carried",IS.AIR.PSGR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Papua New Guinea,PNG,"Air transport, passengers carried",IS.AIR.PSGR,,,,,,,,,,,,,,,,355000,405300,440000,532300,572300,558600,553500,560400,533800,711400,700900,807400,798300,886600,963400,931200,911000,954000,866000,1112800,970000,970000,1114000,1110300,1058200,1099772,1188089,1234779,690528,762784,818773,918640,918665,904885,847353,1405169,1563593.853,1630308.432,1870968,2074020,1679156,1711274,1864653,1831903,2029701,932389,1039010
Poland,POL,"Air transport, passengers carried",IS.AIR.PSGR,,,,,,,,,,,904000,1031200,1267000,1491000,1086800,1454500,1472400,1643200,1702300,1850400,1710500,1592800,755500,1287000,1595900,1587000,1573500,1569500,1600200,1907300,1501000,1051200,1102100,1269900,1451800,1657300,1805900,1998000,2212500,2140700,2340919,2670283,2845919,3252222,3493094,3553680,3625982,4269655,4634676,4279072,4099082,4448727.06,4909100.392,5002975.749,5038745.426,4448883,5497163,7376512,9277538,10225516,2686258,3676185
Pre-demographic dividend,PRE,"Air transport, passengers carried",IS.AIR.PSGR,,,,,,,,,,,2589800,2847200,2900000,3299800,3830100,4279000,5416400,5693100,6456000,7333900,8054300,8800000,8987200,9138600,8906500,9315600,8586600,8136900,8313100,7581600,7398600,6057800,5674400,5354400,5857800,5618900,5427100,5219400,5677400,5720100,5605843,5129614,,,,,,,,,17819048.66,20387700.77,20515501.68,19925850.82,19349770.9,21230480,20633300,21624757.05,28768397.36,28357862.06,10279740.06,15075193.28
Puerto Rico (US),PRI,"Air transport, passengers carried",IS.AIR.PSGR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Korea, Dem. People's Rep.",PRK,"Air transport, passengers carried",IS.AIR.PSGR,,,,,,,,,,,165000,166000,,,,,,165000,166000,184000,192200,184400,185000,196000,197500,202000,200000,205000,217500,220400,222700,222700,235100,241800,241800,254000,254000,280000,64000,76700,82953,78805,84321,75046,93808,101313,105366,110634,108974,101237,73052,78558.86155,100113.3486,371004,90335.875,87082,94919,103560,94245,109095,3563,523.761
Portugal,PRT,"Air transport, passengers carried",IS.AIR.PSGR,,,,,,,,,,,1415400,1656100,1949800,2247100,2250400,1681300,1650300,1833400,2014400,2264500,1978100,2168500,2272200,2218400,2311800,2315200,2422600,2785600,3025100,3187300,3504500,3571800,4108800,4378900,4359600,4590100,4805500,6281400,7023100,7339300,6721365,6650492,6795580,7590259,9052471,10139655,9440930,10320040,11171020,9903771,10428173.51,11014639,11338080,11860998,12635439,12706909,13105120,15937325,17367956,22047878.98,6219531.061,8056494.578
Paraguay,PRY,"Air transport, passengers carried",IS.AIR.PSGR,,,,,,,,,,,80600,84300,53700,59600,61000,64500,66500,104600,111700,118500,129000,127000,167000,163500,179000,212000,184200,205000,248600,272300,273000,308800,313600,337500,324200,105200,260500,196000,222200,231700,265898,281040,267089,298928,373456,445854,432760,458688,465911,428493,715072,845395.6888,794176,711548.47,608844,452004,467713,454276,710407,632389,131713,111964
West Bank and Gaza,PSE,"Air transport, passengers carried",IS.AIR.PSGR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pacific island small states,PSS,"Air transport, passengers carried",IS.AIR.PSGR,,,,,,,,,,,,,,,,,,,,,,,457900,448500,478500,435000,455800,488000,560000,641700,647200,661900,711300,669900,734300,775600,1042400,871600,956800,972400,994674,1040635,1169195,1409660,1376595,1366689,1468156,1510124,1487471,1861811,1679808.521,1691669.508,1701510.525,1807896,2006028,2120856,2238966,2543172,2681606,2609710.553,787299.92,449526.842
Post-demographic dividend,PST,"Air transport, passengers carried",IS.AIR.PSGR,,,,,,,,,,,268162692,286858404,316019208,344448000,356860200,358191400,386117596,417928492,469681004,528337700,512934188,504208800,512515308,539249896,577758388,622754404,673840096,725444604,762609612,788098600,823529116,803342904,851472092,866599916,939020504,989606440.1,1067013204,1118528992,1129879680,1214796800,1301972064,1251639848,1214443600,1229236696,1360640668,1413314874,1455395380,1510562083,1469546762,1409097909,1576171422,1619241222,1648538084,1699478103,1761628445,1848558208,1927693057,2000358525,2089907217,2176459264,730930007.5,1067970235
French Polynesia,PYF,"Air transport, passengers carried",IS.AIR.PSGR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Qatar,QAT,"Air transport, passengers carried",IS.AIR.PSGR,,,,,,,,,,,,,,,127500,173000,240100,299800,374500,456500,521500,577800,569800,601800,674200,717500,647400,621500,698400,752800,770900,875500,981100,1080000,1150600,1072500,1200300,1164600,1207000,2325200,2672972,2778116,3570521,3184104,4453071,6041040,7070851,8879109,9702479,10211229,12391268,14568106,17187171,18737348,21425066,25263224,31209097,29949181,29178923,32953297,10640789,14832936
Romania,ROU,"Air transport, passengers carried",IS.AIR.PSGR,,,,,,,,,,,452500,429400,488800,611800,674400,613100,912600,1077100,1084600,1119700,1112100,1079700,919400,998600,1163400,1215800,1240400,1281300,1322500,1271700,1322000,1148900,918900,979400,1242700,1244900,913300,995200,907600,980300,1218102,1137305,959487,1255313,1337781,1707714,2047466,3003872,3253417,3268022,3733253,3659209,3593312,3087143,3067724.4,3634598,3686938,4423249,4908235,5630289,1786407,2719206
