"year" "GDPpercap" "Tourists" "Temp" "global_means_urban" "global_means_past" "global_means_crop" "pop_global" "migration" "shipcalls" "import"
1836 1366 NA 4.64696265235546 0.000963028169014085 0.0488602112676056 0.0449781690140845 NA 114 63 0.000146427489338671
1836 1366 NA 4.64696265235546 0.000963028169014085 0.0488602112676056 0.0449781690140845 NA 114 13 0.000146427489338671
1837 1393.9 NA 4.46049509793522 0.000973943661971831 0.0490700704225352 0.0452021126760563 NA 120 52 0.00015513710231842
1837 1393.9 NA 4.46049509793522 0.000973943661971831 0.0490700704225352 0.0452021126760563 NA 120 1 0.00015513710231842
1838 1397 NA 4.63096375986936 0.000984507042253521 0.0492820422535211 0.045431338028169 NA 104 3 0.00015424902659967
1838 1397 NA 4.63096375986936 0.000984507042253521 0.0492820422535211 0.045431338028169 NA 104 62 0.00015424902659967
1839 1372.4 NA 4.63537460602822 0.000995070422535211 0.0494929577464789 0.0456573943661972 NA 112 8 0.000183204001394304
1839 1372.4 NA 4.63537460602822 0.000995070422535211 0.0494929577464789 0.0456573943661972 NA 112 65 0.000183204001394304
1840 1302.61111111111 NA 4.66923392973843 0.00100211267605634 0.0497038732394366 0.0458830985915493 1.19193890067903 121 8 0.000246467550993744
1840 1302.61111111111 NA 4.66923392973843 0.00100211267605634 0.0497038732394366 0.0458830985915493 1.19193890067903 121 63 0.000246467550993744
1841 1414.4 NA 4.63175389021637 0.00101584507042254 0.0500232394366197 0.0460827464788732 NA 109 58 0.000169342378298066
1841 1414.4 NA 4.63175389021637 0.00101584507042254 0.0500232394366197 0.0460827464788732 NA 109 12 0.000169342378298066
1842 1349.5 NA 4.58172541148963 0.00102992957746479 0.0503380281690141 0.0462816901408451 NA 112 71 0.000163811256797041
1842 1349.5 NA 4.58172541148963 0.00102992957746479 0.0503380281690141 0.0462816901408451 NA 112 9 0.000163811256797041
1843 1449 NA 4.70847851634028 0.00104366197183099 0.050655985915493 0.0464830985915493 NA 98 50 0.000159980799565563
1844 1561.4 NA 4.4805500622839 0.00105633802816901 0.0509721830985915 0.0466859154929577 NA 119 47 0.000190729941050959
1845 1578.9 NA 4.74076898619535 0.0010669014084507 0.051287676056338 0.0468830985915493 NA 97 3 0.000199856624270111
1845 1578.9 NA 4.74076898619535 0.0010669014084507 0.051287676056338 0.0468830985915493 NA 97 59 0.000199856624270111
1846 1661.83333333333 NA 4.54819050841036 0.0010830985915493 0.0516035211267606 0.047081338028169 NA 101 59 0.000197430759575419
