Taxon,Region,FirstRecord
Acaena novae-zelandiae,Americas,1067
Acaena novae-zelandiae,Europe and Central Asia,1901
Acaena ovalifolia,Americas,1911
Acaena ovalifolia,Europe and Central Asia,1921
Acaena pallida,Americas,1971
Acalitus ipomocarneae Keifer,Americas,1987
Acallopais rudis,Asia and the Pacific,1963
Acalolepta aesthetica,Americas,2009
Acalypha amentacea,Americas,1882
Acalypha aristata,Asia and the Pacific,2000
Acalypha australis,Americas,1989
Acalypha australis,Asia and the Pacific,1942
Acalypha australis,Europe and Central Asia,1992
Acalypha brachystachya,Europe and Central Asia,2007
Acalypha hispida,Africa,1931
Acalypha hispida,Americas,1915
Acalypha hispida,Asia and the Pacific,1906
Acalypha indica,Americas,1888
Acalypha indica,Asia and the Pacific,1925
Acalypha indica,Europe and Central Asia,2000
Acalypha virginica,Europe and Central Asia,1760
Acalypha wilkesiana,Asia and the Pacific,1888
Acalypta parvula,Americas,1963
Acanalonia conica,Europe and Central Asia,2003
Acanalonia excavata,Americas,1997
Acanthis flammea,Asia and the Pacific,1862
Acanthocephalus anguillae,Europe and Central Asia,1996
Acanthocereus tetragonus,Americas,1923
Acanthocereus tetragonus,Asia and the Pacific,1956
Acanthocnemus nigricans,Europe and Central Asia,1922
Acanthoderes jaspidea,Europe and Central Asia,1880
Acanthogobius flavimanus,Americas,1963
Acanthogobius flavimanus,Asia and the Pacific,1971
Acantholobulus pacificus,Americas,1929
Acantholybas brunneus,Asia and the Pacific,1939
Acantholyda erythrocephala,Americas,1925
Acantholyda erythrocephala,Europe and Central Asia,1994
Acanthomysis aspera,Americas,1992
Acanthomysis hwanhaiensis,Americas,1997
Acanthopagrus bifasciatus,Africa,2010
Acanthopanax spinosus,Asia and the Pacific,1920
Acanthophora muscoides,Europe and Central Asia,1986
Acanthophora nayadiformis,Europe and Central Asia,1997
Acanthophora spicifera,Americas,1952
Acanthoscelides macrophthalmus,Americas,1989
Acanthoscelides macrophthalmus,Asia and the Pacific,1999
Acanthoscelides macrophthalmus,Europe and Central Asia,2007
Acanthoscelides obtectus,Americas,1964
Acanthoscelides obtectus,Asia and the Pacific,1935
Acanthoscelides obtectus,Europe and Central Asia,1889
Acanthoscelides puniceus,Asia and the Pacific,1983
Acanthoscelides quadridentatus,Americas,1986
Acanthoscelides quadridentatus,Asia and the Pacific,1983
Acanthosiphonia echinata,Europe and Central Asia,2018
Acanthospermum australe,Africa,1931
Acanthospermum australe,Americas,1840
Acanthospermum australe,Asia and the Pacific,1820
Acanthospermum glabratum,Africa,1951
Acanthospermum hispidum,Africa,1917
Acanthospermum hispidum,Americas,1801
Acanthospermum hispidum,Asia and the Pacific,1904
Acanthospermum hispidum,Europe and Central Asia,1953
Acanthoxyla geisovii,Europe and Central Asia,1908
Acanthoxyla inermis,Europe and Central Asia,1981
Acanthuchus trispinifer,Asia and the Pacific,1971
Acanthurus chirurgus,Europe and Central Asia,2012
Acanthurus coeruleus,Europe and Central Asia,2011
Acanthurus guttatus,Americas,2003
Acanthurus monroviae,Europe and Central Asia,1981
Acanthurus sohal,Americas,2002
Acanthurus sohal,Europe and Central Asia,2017
Acanthus hungaricus,Europe and Central Asia,1998
Acanthus mollis,Asia and the Pacific,1953
Acanthus mollis,Europe and Central Asia,1820
Acanthus spinosus,Europe and Central Asia,1942
Acar plicata,Europe and Central Asia,1978
Acarapis woodi,Americas,1984
Acartia centrura,Europe and Central Asia,1968
Acartia clausi,Europe and Central Asia,1981
Acartia fossae,Asia and the Pacific,1978
Acartia hasanii,Europe and Central Asia,2002
Acartia omorii,Europe and Central Asia,2004
Acartia spinicauda,Africa,2003
Acartia tonsa,Americas,1952
Acartia tonsa,Europe and Central Asia,1873
Acartiella sinensis,Americas,1999
Acathrix trymatus,Americas,1996
Acaudaleyrodes rachipora,Europe and Central Asia,2000
Accipiter gentilis,Europe and Central Asia,2011
Acentria ephemerella,Americas,1927
Acentrogobius pflaumii,Asia and the Pacific,1996
Acentropus niveus,Americas,1927
Acer barbinerve,Europe and Central Asia,1993
Acer campestre,Asia and the Pacific,1888
Acer campestre,Europe and Central Asia,1749
Acer cappadocicum,Asia and the Pacific,1940
Acer cappadocicum,Europe and Central Asia,1977
Acer cissifolium,Europe and Central Asia,2010
Acer heldreichii,Europe and Central Asia,1996
Acer japonicum,Asia and the Pacific,2012
Acer japonicum,Europe and Central Asia,2015
Acer macrophyllum,Asia and the Pacific,2012
Acer monspessulanum,Europe and Central Asia,1930
Acer negundo,Americas,1883
Acer negundo,Asia and the Pacific,1843
Acer negundo,Europe and Central Asia,1688
Acer palmatum,Asia and the Pacific,1912
Acer palmatum,Europe and Central Asia,2010
Acer pensylvanicum,Americas,1992
Acer pensylvanicum,Europe and Central Asia,2008
Acer pictum,Europe and Central Asia,2008
Acer platanoides,Americas,1756
Acer platanoides,Asia and the Pacific,1843
Acer platanoides,Europe and Central Asia,1905
Acer pseudoplatanus,Americas,1844
Acer pseudoplatanus,Asia and the Pacific,1843
Acer pseudoplatanus,Europe and Central Asia,1600
Acer pseudosieboldianum,Europe and Central Asia,2017
Acer rubrum,Americas,1921
Acer rubrum,Asia and the Pacific,1938
Acer rubrum,Europe and Central Asia,2006
Acer rufinerve,Europe and Central Asia,1990
Acer saccharinum,Americas,1956
Acer saccharinum,Asia and the Pacific,1843
Acer saccharinum,Europe and Central Asia,1807
Acer saccharum,Asia and the Pacific,1893
Acer saccharum,Europe and Central Asia,1912
Acer spicatum,Europe and Central Asia,1931
Acer tataricum,Americas,1860
Acer tataricum,Europe and Central Asia,1805
Acer tegmentosum,Europe and Central Asia,1897
Aceratoneuromyia indica,Americas,1957
Aceratoneuromyia indica,Europe and Central Asia,1974
Aceria alpestris,Europe and Central Asia,1952
Aceria erinea,Europe and Central Asia,1850
Aceria ficus,Europe and Central Asia,2000
Aceria fraxiniflora,Asia and the Pacific,1999
Aceria genistae,Americas,2005
Aceria guerreronis,Americas,2000
Aceria litchii,Americas,1993
Aceria malherbae,Americas,1989
Aceria tristriata,Europe and Central Asia,1905
Aceria zelkoviana Kim,Americas,2000
Acerophagus pallidus,Americas,1951
Acetabularia caliculus,Europe and Central Asia,1943
Achaea ablunaris,Americas,1989
Achaea janata,Americas,1944
Achaearanea tepidatorium,Europe and Central Asia,1873
Acheilognathus asmussii,Europe and Central Asia,1986
Acheilognathus macropterus,Asia and the Pacific,2001
Acheilognathus rhombeus,Asia and the Pacific,1975
Achelia sawayai,Europe and Central Asia,2016
Acheta domesticus,Europe and Central Asia,1850
Acheta oceanica,Americas,1882
Achillea cartilaginea,Europe and Central Asia,1944
Achillea crithmifolia,Europe and Central Asia,1905
Achillea distans,Asia and the Pacific,1880
Achillea distans,Europe and Central Asia,1844
Achillea filipendulina,Americas,2005
Achillea filipendulina,Asia and the Pacific,1966
Achillea filipendulina,Europe and Central Asia,1802
Achillea ligustica,Europe and Central Asia,1900
Achillea millefolium,Africa,1978
Achillea millefolium,Americas,1875
Achillea millefolium,Asia and the Pacific,1867
Achillea millefolium,Europe and Central Asia,1662
Achillea nobilis,Europe and Central Asia,1700
Achillea ptarmica,Africa,1982
Achillea ptarmica,Americas,1806
Achillea ptarmica,Asia and the Pacific,1956
Achillea ptarmica,Europe and Central Asia,1838
Achillea salicifolia,Europe and Central Asia,1874
Achillea tomentosa,Americas,1886
Achillea tomentosa,Europe and Central Asia,1895
Achilus flammeus,Asia and the Pacific,1946
Achnanthes pseudogroenlandica,Europe and Central Asia,1984
Achradocera shannoni,Americas,2008
Achroia grisella,Asia and the Pacific,1908
Achrysocharoides splendens,Asia and the Pacific,1957
Achyra affinitalis,Asia and the Pacific,1973
Achyra similalis,Americas,1892
Achyranthes aspera,Africa,1652
Achyranthes aspera,Americas,1855
Achyranthes aspera,Asia and the Pacific,1913
Achyranthes aspera,Europe and Central Asia,1948
Achyranthes sicula,Europe and Central Asia,1844
Acidovorax avenae,Asia and the Pacific,1988
Acineta nitocrae,Americas,1976
Acinia picturata,Americas,1959
Acinonyx jubatus,Africa,1975
Acipenser baerii,Americas,1993
Acipenser baerii,Asia and the Pacific,1998
Acipenser baerii,Europe and Central Asia,1962
Acipenser gueldenstaedtii,Asia and the Pacific,1993
Acipenser gueldenstaedtii,Europe and Central Asia,1962
Acipenser nudiventris,Asia and the Pacific,1933
Acipenser nudiventris,Europe and Central Asia,1994
Acipenser oxyrinchus,Europe and Central Asia,2009
Acipenser ruthenus,Asia and the Pacific,1997
Acipenser ruthenus,Europe and Central Asia,1763
Acipenser stellatus,Asia and the Pacific,1996
Acipenser stellatus,Europe and Central Asia,1930
Acipenser transmontanus,Americas,1997
Acipenser transmontanus,Europe and Central Asia,1987
Acipenserobdella volgensis,Europe and Central Asia,1992
Acizzia acaciae,Asia and the Pacific,1922
Acizzia acaciaebaileyanae,Americas,1987
Acizzia acaciaebaileyanae,Asia and the Pacific,1922
Acizzia acaciaebaileyanae,Europe and Central Asia,1981
