Taxon,Region,FirstRecord
Lepinotus reticulatus,Europe and Central Asia,1905
Lepiota elaiophylla,Europe and Central Asia,1997
Lepiota micropholis,Europe and Central Asia,1939
Lepiota rhyparophora,Europe and Central Asia,1983
Lepiota xanthophylla,Europe and Central Asia,1960
Lepironia articulata,Asia and the Pacific,1915
Lepisiota capensis,Africa,1895
Lepisiota capensis,Europe and Central Asia,2014
Lepisiota frauenfeldi,Africa,2014
Lepisma saccharina,Americas,2010
Lepisma saccharina,Europe and Central Asia,1890
Lepisosteus oculatus,Asia and the Pacific,1990
Lepista graveolens,Europe and Central Asia,1977
Lepista luscina,Asia and the Pacific,2012
Lepolepis bicolor,Europe and Central Asia,1945
Lepomis auritus,Americas,1955
Lepomis auritus,Asia and the Pacific,1987
Lepomis auritus,Europe and Central Asia,1895
Lepomis cyanellus,Africa,1939
Lepomis cyanellus,Americas,1930
Lepomis cyanellus,Asia and the Pacific,1950
Lepomis gibbosus,Africa,1955
Lepomis gibbosus,Americas,1929
Lepomis gibbosus,Europe and Central Asia,1809
Lepomis gulosus,Americas,1916
Lepomis humilis,Americas,1929
Lepomis macrochirus,Africa,1938
Lepomis macrochirus,Americas,1915
Lepomis macrochirus,Asia and the Pacific,1950
Lepomis marginatus,Americas,1984
Lepomis megalotis,Americas,1930
Lepomis megalotis,Asia and the Pacific,1987
Lepomis microlophus,Africa,1944
Lepomis microlophus,Americas,1928
Leporacarus gibbus,Europe and Central Asia,1943
Leporillus conditor,Asia and the Pacific,1990
Leporinus fasciatus,Americas,1984
Leptacinus pusillus,Asia and the Pacific,1975
Leptecophylla parvifolia,Asia and the Pacific,1992
Leptinella dioica,Europe and Central Asia,1957
Leptinella squalida,Europe and Central Asia,1913
Leptinotarsa,Asia and the Pacific,1993
Leptinotarsa decemlineata,Asia and the Pacific,1993
Leptinotarsa decemlineata,Europe and Central Asia,1877
Leptinotarsa defecta,Africa,1992
Leptinotarsa texana,Africa,1992
Leptobarbus hoevenii,Asia and the Pacific,1981
Leptobryum pyriforme,Americas,1903
Leptobyrsa decora,Americas,1970
Leptobyrsa decora,Asia and the Pacific,1969
Leptocera caenosa,Asia and the Pacific,1940
Leptochela aculeocaudata,Africa,1933
Leptochela pugnax,Europe and Central Asia,1947
Leptochiton cancellatus,Europe and Central Asia,1897
Leptochloa aquatica,Americas,1897
Leptochloa fusca,Americas,1877
Leptochloa fusca,Asia and the Pacific,1971
Leptochloa fusca,Europe and Central Asia,2002
Leptochloa mucronata,Europe and Central Asia,1961
Leptochloa panicea,Africa,2013
Leptochloa panicea,Americas,1880
Leptochloa panicea,Asia and the Pacific,1953
Leptochloa panicoides,Americas,1904
Leptochloa virgata,Americas,1895
Leptocroca sanguinolenta,Asia and the Pacific,1991
Leptocybe invasa,Asia and the Pacific,2007
Leptocybe invasa,Europe and Central Asia,1999
Leptodesmia microphylla,Asia and the Pacific,1997
Leptodictya tabida,Americas,1990
Leptodictya tabida,Europe and Central Asia,2009
Leptodora kindti,Europe and Central Asia,1955
Leptogenys falcigera,Africa,1899
Leptogenys falcigera,Americas,1879
Leptogenys falcigera,Asia and the Pacific,1887
Leptogenys maxillosa,Africa,1887
Leptogenys maxillosa,Americas,1905
Leptogenys maxillosa,Asia and the Pacific,1925
Leptogenys pavesii,Asia and the Pacific,1975
Leptoglossus occidentalis,Europe and Central Asia,1878
Leptoiulus belgicus,Europe and Central Asia,1992
Leptolepia novae-zelandiae,Asia and the Pacific,1898
Leptomastidae abnormis,Americas,1914
Leptomastix dactylopii,Africa,1938
Leptomastix dactylopii,Europe and Central Asia,1948
Leptomastix nigrocoxalis,Africa,1937
Leptomeria acida,Asia and the Pacific,1898
Leptomeria billardierei,Asia and the Pacific,1898
Leptomesochra tenuicornis,Europe and Central Asia,1999
Leptomona erythrocephala,Europe and Central Asia,1790
Leptonemertes chalicophora,Europe and Central Asia,1952
Leptophyes punctatissima,Europe and Central Asia,1956
Leptopilina heterotoma,Asia and the Pacific,1974
Leptopilos pupa,Europe and Central Asia,1965
Leptopius robustus,Asia and the Pacific,1945
Leptopsylla segnis,Asia and the Pacific,1902
Leptorhynchos squamatus,Asia and the Pacific,1973
Leptospermum juniperinum,Asia and the Pacific,1982
Leptospermum laevigatum,Africa,1850
Leptospermum laevigatum,Americas,1930
Leptospermum laevigatum,Asia and the Pacific,1906
Leptospermum lanigerum,Europe and Central Asia,1963
Leptospermum nitidum,Asia and the Pacific,1982
Leptospermum petersonii,Asia and the Pacific,1969
Leptospermum polygalifolium,Americas,1923
Leptospermum polygalifolium,Asia and the Pacific,1843
Leptospermum rotundifolium,Asia and the Pacific,1982
Leptospermum scoparium,Americas,1927
Leptospermum scoparium,Asia and the Pacific,1898
Leptospermum scoparium,Europe and Central Asia,1914
Leptosphaerulina trifolii,Asia and the Pacific,1939
Leptospron adenanthum,Asia and the Pacific,1901
Leptostiba politula,Asia and the Pacific,1943
Leptotheca gaudichaudii,Europe and Central Asia,1998
Leptotila jamaicensis,Americas,1920
Lepus americanus,Americas,1864
Lepus arcticus,Americas,1969
Lepus californicus,Americas,1958
Lepus capensis,Americas,1888
Lepus capensis,Asia and the Pacific,1865
Lepus capensis,Europe and Central Asia,1500
Lepus corsicanus,Europe and Central Asia,1300
Lepus europaeus,Africa,1932
Lepus europaeus,Americas,1740
Lepus europaeus,Asia and the Pacific,1851
Lepus europaeus,Europe and Central Asia,-8800
Lepus granatensis,Europe and Central Asia,-1500
Lepus nigricollis,Africa,1700
Lepus nigricollis,Asia and the Pacific,1550
Lepus timidus,Europe and Central Asia,1818
Lepyronia coleoptrata,Americas,1940
Leratiomyces ceres,Asia and the Pacific,2012
Leratiomyces ceres,Europe and Central Asia,1965
Leratiomyces percevalii,Europe and Central Asia,1900
Lernaea cyprinacea,Americas,1930
Lernaea cyprinacea,Europe and Central Asia,1973
Lernanthropus callionymicola,Europe and Central Asia,1997
Lespedeza cyrtobotrya,Asia and the Pacific,1989
Lespedeza juncea,Asia and the Pacific,1956
Lespedeza maximowiczii,Asia and the Pacific,1989
Lessardia elongata,Europe and Central Asia,2004
Lessertia dentichelis,Americas,1992
Lessertia dentichelis,Asia and the Pacific,1988
Lessertia dentichelis,Europe and Central Asia,1959
Lessertia frutescens,Americas,1956
Lessertia frutescens,Asia and the Pacific,1843
Lestodiplosis aonidiellae,Europe and Central Asia,1999
Leucadendron argenteum,Asia and the Pacific,1845
Leucadendron discolor,Asia and the Pacific,1940
Leucadendron grandiflorum,Asia and the Pacific,1940
Leucadendron laureolum,Asia and the Pacific,1982
Leucadendron xanthoconus,Asia and the Pacific,1982
Leucaena diversifolia,Africa,1800
Leucaena diversifolia,Americas,1900
Leucaena diversifolia,Asia and the Pacific,1802
Leucaena leucocephala,Africa,1820
Leucaena leucocephala,Americas,1837
Leucaena leucocephala,Asia and the Pacific,1645
Leucaena leucocephala,Europe and Central Asia,1989
Leucaena pallida,Asia and the Pacific,1989
Leucaena trichodes,Americas,1985
Leucania loreyimima,Americas,1975
Leucania striata,Americas,1969
Leucanthemella serotina,Americas,1939
Leucanthemella serotina,Europe and Central Asia,1909
Leucanthemum lacustre,Americas,1936
Leucanthemum lacustre,Europe and Central Asia,1913
Leucanthemum maximum,Americas,1919
Leucanthemum maximum,Asia and the Pacific,1914
Leucanthemum maximum,Europe and Central Asia,1957
Leucanthemum superbum,Americas,1973
Leucanthemum superbum,Asia and the Pacific,1911
Leucanthemum superbum,Europe and Central Asia,1911
Leucanthemum vulgare,Africa,1982
Leucanthemum vulgare,Americas,1743
Leucanthemum vulgare,Asia and the Pacific,1867
Leucanthemum vulgare,Europe and Central Asia,1600
Leucas cephalotes,Asia and the Pacific,1968
Leucas lavandulifolia,Asia and the Pacific,1912
Leucas martinicensis,Americas,1876
Leucas martinicensis,Asia and the Pacific,1947
Leucas zeylanica,Asia and the Pacific,1913
Leucaspis podocarpi,Europe and Central Asia,1975
Leucaspis portaeaureae,Americas,1938
Leucaspius delineatus,Europe and Central Asia,1884
Leucinodes orbonalis,Europe and Central Asia,2004
Leuciscus aspius,Europe and Central Asia,1846
Leuciscus idus,Americas,1877
Leuciscus idus,Asia and the Pacific,1982
Leuciscus idus,Europe and Central Asia,1870
Leuciscus leuciscus,Europe and Central Asia,1889
Leucoagaricus americanus,Europe and Central Asia,1885
Leucoagaricus badhamii,Europe and Central Asia,1852
Leucoagaricus brunnescens,Europe and Central Asia,2004
Leucoagaricus cupresseus,Europe and Central Asia,1994
Leucoagaricus marginatus,Europe and Central Asia,2001
Leucoagaricus melanotrichus,Europe and Central Asia,1952
Leucoagaricus meleagris,Europe and Central Asia,1885
Leucoagaricus rubrotinctus,Europe and Central Asia,1979
Leucocarbo bougainvillii,Americas,1953
Leucocasia gigantea,Asia and the Pacific,2004
Leucocoprinus,Europe and Central Asia,1980
Leucocoprinus aureofloccosus,Europe and Central Asia,1988
Leucocoprinus birnbaumii,Americas,2014
Leucocoprinus birnbaumii,Europe and Central Asia,1785
Leucocoprinus brebissonii,Europe and Central Asia,1953
Leucocoprinus caldariorum,Europe and Central Asia,1993
Leucocoprinus cepistipes,Europe and Central Asia,1888
Leucocoprinus cepistipes var. rorulentus (Panizzi) Babos,Europe and Central Asia,1785
Leucocoprinus cretaceus,Europe and Central Asia,1788
Leucocoprinus cygneus,Europe and Central Asia,2001
Leucocoprinus heinemannii,Europe and Central Asia,1992
Leucocoprinus ianthinus,Europe and Central Asia,1933
Leucocoprinus lanzonii,Europe and Central Asia,1993
Leucocoprinus medioflavus,Europe and Central Asia,1996
Leucocoprinus straminellus,Europe and Central Asia,1850
Leucocoprinus straminellus var. albus (Joss.) Migl. & Rava,Europe and Central Asia,1907
Leucocoprinus tenellus,Europe and Central Asia,1899
Leucocoprinus zeylanicus,Europe and Central Asia,1995
Leucocosmia nonagrica,Americas,1903
Leucodendron adscendens,Asia and the Pacific,1964
Leucodendron venosum,Asia and the Pacific,1843
Leucojum aestivum,Americas,1898
Leucojum aestivum,Asia and the Pacific,1953
Leucojum aestivum,Europe and Central Asia,1800
Leucojum vernum,Americas,1932
Leucojum vernum,Europe and Central Asia,1834
Leucoma salicis,Americas,1918
Leucophytia bidentata,Europe and Central Asia,1997
Leucoptera spartifoliella,Americas,1960
Leucoptera spartifoliella,Asia and the Pacific,1950
Leucosarcia melanoleuca,Americas,1922
Leucosarcia melanoleuca,Asia and the Pacific,1864
Leucosolenia eleanor,Americas,2012
Leucospermum bolusii,Asia and the Pacific,1964
Leucospermum cordifolium,Asia and the Pacific,1964
Leucospermum reflexum,Asia and the Pacific,1964
Leucospermum tottum,Asia and the Pacific,1964
Leucostegia pallida,Asia and the Pacific,1888
Leucostigma candidescens,Europe and Central Asia,1903
Leucostoma edentatum,Europe and Central Asia,1995
Leucotelium cerasi,Europe and Central Asia,1845
Leucothoe fontanesiana,Asia and the Pacific,1938
Leucothoe fontanesiana,Europe and Central Asia,1850
Leucothoe micronesiae,Americas,1997
Leucothrips nigripennis,Europe and Central Asia,1904
Leucotina eva,Europe and Central Asia,1995
Leucotina natalensis,Europe and Central Asia,1978
Leveillula taurica,Americas,1950
Levisticum officinale,Americas,1881
Levisticum officinale,Europe and Central Asia,1600
Lewisiopsis tweedyi,Asia and the Pacific,2009
Leycesteria formosa,Asia and the Pacific,1843
Leycesteria formosa,Europe and Central Asia,1839
Leymus arenarius,Americas,1906
Leymus arenarius,Asia and the Pacific,1878
Leymus condensatus,Americas,2010
Leymus innovatus,Europe and Central Asia,1996
Leymus karelinii,Europe and Central Asia,1973
Leymus racemosus,Asia and the Pacific,1940
Leymus racemosus,Europe and Central Asia,1976
Liagora viscida,Europe and Central Asia,2003
Liatris pycnostachya,Americas,1970
Liatris spicata,Americas,1970
Liatris spicata,Europe and Central Asia,2010
Libertia chilensis,Europe and Central Asia,1916
Libertia pulchella,Asia and the Pacific,1986
Libertia sessiliflora,Europe and Central Asia,1958
Libina dubia,Africa,1996
Libinia dubia,Africa,1996
Licornia diadema,Americas,2002
Licornia jolloisii,Africa,1924
Licuala grandis,Asia and the Pacific,1936
Licuala spinosa,Americas,1949
Lienardia mighelsi,Europe and Central Asia,2003
Ligia exotica,Africa,1932
Ligia exotica,Americas,1878
Ligia italica,Europe and Central Asia,1887
Ligia oceanica,Europe and Central Asia,1998
Ligictaluridus pricei,Europe and Central Asia,1970
Ligophorus kaohsianghsieni,Europe and Central Asia,1994
Ligophorus llewellyni,Europe and Central Asia,2007
Ligophorus pilengas,Europe and Central Asia,1996
Ligula intestinalis,Europe and Central Asia,1973
Ligularia dentata,Europe and Central Asia,1890
Ligularia przewalskii,Europe and Central Asia,1941
Ligularia sibirica,Europe and Central Asia,1900
Ligularia stenocephala,Europe and Central Asia,2001
Ligusticum scoticum,Europe and Central Asia,1968
Ligustrum amurense,Americas,1980
Ligustrum henryi,Europe and Central Asia,1993
Ligustrum japonicum,Africa,1927
Ligustrum japonicum,Americas,1971
Ligustrum japonicum,Asia and the Pacific,1843
Ligustrum japonicum,Europe and Central Asia,1998
Ligustrum lucidum,Africa,1858
Ligustrum lucidum,Americas,1978
Ligustrum lucidum,Asia and the Pacific,1843
Ligustrum lucidum,Europe and Central Asia,1831
Ligustrum ovalifolium,Africa,1932
Ligustrum ovalifolium,Americas,1970
Ligustrum ovalifolium,Asia and the Pacific,1880
Ligustrum ovalifolium,Europe and Central Asia,1852
Ligustrum robustum,Africa,1895
Ligustrum sinense,Africa,1924
Ligustrum sinense,Americas,1850
Ligustrum sinense,Asia and the Pacific,1906
Ligustrum sinense,Europe and Central Asia,1826
Ligustrum tschonoskii,Asia and the Pacific,1906
Ligustrum undulatum,Asia and the Pacific,1880
Ligustrum vicaryi,Europe and Central Asia,2008
Ligustrum vulgare,Africa,1858
Ligustrum vulgare,Americas,1920
Ligustrum vulgare,Asia and the Pacific,1838
Ligustrum vulgare,Europe and Central Asia,1791
Lilaeopsis attenuata,Europe and Central Asia,1956
Liliacina diversipes,Americas,1993
Lilioceris cheni,Americas,2012
Lilioceris lilii,Americas,1943
Lilioceris lilii,Europe and Central Asia,1763
Lilium bulbiferum,Americas,1877
Lilium bulbiferum,Europe and Central Asia,1740
Lilium candidum,Americas,2004
Lilium candidum,Europe and Central Asia,1804
Lilium formosanum,Africa,1948
Lilium formosanum,Asia and the Pacific,1924
Lilium hollandicum,Europe and Central Asia,1850
Lilium lancifolium,Asia and the Pacific,1953
Lilium lancifolium,Europe and Central Asia,1870
Lilium martagon,Americas,1877
Lilium martagon,Europe and Central Asia,1670
Lilium pensylvanicum,Europe and Central Asia,1983
Lilium pyrenaicum,Europe and Central Asia,1853
Limacus flavus,Africa,1898
Limacus flavus,Americas,1964
Limacus flavus,Asia and the Pacific,1879
Limacus flavus,Europe and Central Asia,1884
Limaria orientalis,Asia and the Pacific,1971
Limax albipes,Europe and Central Asia,1996
Limax maximus,Africa,1898
Limax maximus,Americas,1867
Limax maximus,Asia and the Pacific,1879
Limax maximus,Europe and Central Asia,1833
Limia vittata,Americas,1950
Limia vittata,Asia and the Pacific,1973
Limnaecia phragmitella,Asia and the Pacific,1970
Limnanthes alba,Americas,1989
Limnanthes douglasii,Europe and Central Asia,1870
Limnellia maculipennis,Asia and the Pacific,1967
Limnobium laevigatum,Americas,1980
Limnobium laevigatum,Asia and the Pacific,2011
Limnobium laevigatum,Europe and Central Asia,2016
Limnobium spongia,Americas,1998
Limnocharis flava,Asia and the Pacific,1960
Limnocletodes behningi,Europe and Central Asia,1973
Limnodrilus cervix,Europe and Central Asia,1965
Limnodynastes tasmaniensis,Asia and the Pacific,1971
Limnoithona sinensis,Americas,1950
Limnoithona tetraspina,Americas,1993
Limnomysis benedeni,Europe and Central Asia,1946
Limnoperna fortunei,Americas,1991
Limnoperna fortunei,Asia and the Pacific,1986
Limnophila aromatica,Americas,1999
Limnophila heterophylla,Asia and the Pacific,2004
Limnophila ludoviciana,Europe and Central Asia,2009
Limnophila sessiliflora,Americas,1964
Limnophila sessiliflora,Europe and Central Asia,1940
Limnophyes minimus,Americas,1939
Limnoria lignorum,Europe and Central Asia,1886
Limnoria quadripunctata,Africa,1978
Limnoria quadripunctata,Americas,1873
Limnoria quadripunctata,Asia and the Pacific,1849
Limnoria quadripunctata,Europe and Central Asia,1931
Limnoria tripunctata,Africa,1978
Limnoria tripunctata,Americas,1922
Limnoria tripunctata,Europe and Central Asia,1951
Limnosida frontosa,Europe and Central Asia,1960
Limnothrissa miodon,Africa,1958
Limonia trivittata,Europe and Central Asia,1952
Limonium arboreum,Asia and the Pacific,1888
Limonium binervosum,Asia and the Pacific,1980
Limonium californicum,Asia and the Pacific,2014
Limonium companyonis,Asia and the Pacific,1984
Limonium duriusculum,Americas,2000
Limonium gerberi,Asia and the Pacific,2013
Limonium gerberi,Europe and Central Asia,1952
Limonium hyblaeum,Asia and the Pacific,1889
Limonium hyblaeum,Europe and Central Asia,1979
Limonium latifolium,Europe and Central Asia,1973
Limonium myrianthum,Asia and the Pacific,1976
Limonium otolepis,Asia and the Pacific,1959
Limonium perezii,Americas,1947
Limonium perezii,Asia and the Pacific,1971
Limonium ramosissimum,Americas,1996
Limonium sinuatum,Americas,1923
Limonium sinuatum,Asia and the Pacific,1894
Limonium sinuatum,Europe and Central Asia,1835
Limonium thouinii,Asia and the Pacific,1909
Limonium thouinii,Europe and Central Asia,1957
Limopsis multistriata,Europe and Central Asia,1965
Limosella australis,Americas,1987
Limothrips cerealium,Asia and the Pacific,1930
Limulus polyphemus,Europe and Central Asia,1866
Linaria arenaria,Europe and Central Asia,1893
Linaria arvensis,Asia and the Pacific,1942
Linaria bipartita,Americas,1924
Linaria canadensis var. canadensis,Asia and the Pacific,1941
Linaria canadensis var. texana,Americas,1904
Linaria chalepensis,Europe and Central Asia,1891
Linaria dalmatica,Americas,1915
Linaria dalmatica,Asia and the Pacific,1933
Linaria dalmatica,Europe and Central Asia,1915
Linaria dominii,Europe and Central Asia,1950
Linaria genistifolia,Asia and the Pacific,1982
Linaria genistifolia,Europe and Central Asia,1870
Linaria hirta,Europe and Central Asia,1952
Linaria incarnata,Asia and the Pacific,1914
Linaria incarnata,Europe and Central Asia,1938
Linaria maroccana,Americas,1935
Linaria maroccana,Asia and the Pacific,1954
Linaria maroccana,Europe and Central Asia,1990
Linaria nigricans,Asia and the Pacific,1995
Linaria pelisseriana,Asia and the Pacific,1892
Linaria pinifolia,Americas,1953
Linaria pinifolia,Europe and Central Asia,1826
Linaria purpurea,Americas,2003
Linaria purpurea,Asia and the Pacific,1874
Linaria purpurea,Europe and Central Asia,1830
Linaria reflexa,Europe and Central Asia,1834
Linaria repens,Asia and the Pacific,1955
Linaria repens,Europe and Central Asia,1670
Linaria sepium,Europe and Central Asia,1830
Linaria simplex,Europe and Central Asia,1882
Linaria supina,Europe and Central Asia,1833
Linaria triornithophora,Americas,2009
Linaria triornithophora,Europe and Central Asia,1915
Linaria vulgaris,Americas,1820
Linaria vulgaris,Asia and the Pacific,1853
Linaria vulgaris,Europe and Central Asia,1828
Lindera tessellatella,Asia and the Pacific,1921
Lindernia dubia,Asia and the Pacific,1936
Lindernia dubia,Europe and Central Asia,1927
Lindernia dubia var. major,Asia and the Pacific,1936
Lindernia procumbens,Americas,1872
Lindernia procumbens,Europe and Central Asia,1974
Lindingaspis floridana,Americas,1921
Lindingaspis rossi,Americas,1892
Lindingaspis rossi,Asia and the Pacific,1912
Lindingaspis rossi,Europe and Central Asia,1900
Lindsaea ensifolia,Americas,1969
Lindsaea linearis,Asia and the Pacific,1838
Lineodes integra,Americas,1989
Linepithema humile,Africa,1901
Linepithema humile,Americas,1891
Linepithema humile,Asia and the Pacific,1905
Linepithema humile,Europe and Central Asia,1847
Linepithema iniquum,Americas,1901
Linepithema leucomelas,Europe and Central Asia,1955
Linepithema micans,Americas,2011
Linguimaera caesaris,Europe and Central Asia,1971
Linogeraeus urbanus,Asia and the Pacific,1975
Linognathus ovillus,Asia and the Pacific,1906
Linognathus pedalis,Asia and the Pacific,1840
Linognathus setosus,Asia and the Pacific,1970
Linognathus stenopsis,Asia and the Pacific,1773
Linognathus stenopsis,Europe and Central Asia,1959
Linognathus vituli,Americas,1965
Linognathus vituli,Asia and the Pacific,1917
Linopherus acarunculatus,Europe and Central Asia,1993
Linopherus canariensis,Asia and the Pacific,1965
Linopherus canariensis,Europe and Central Asia,1997
Linopherus incarunculata,Asia and the Pacific,1965
Linopherus incarunculata,Europe and Central Asia,1993
Linospadix monostachyos,Asia and the Pacific,1888
Linum angustifolium,Americas,1953
Linum austriacum,Americas,2006
Linum austriacum,Europe and Central Asia,1860
Linum bienne,Americas,1891
Linum bienne,Asia and the Pacific,1869
Linum bienne,Europe and Central Asia,1971
Linum catharticum,Americas,1935
Linum catharticum,Asia and the Pacific,1896
Linum grandiflorum,Americas,1903
Linum grandiflorum,Asia and the Pacific,1887
Linum grandiflorum,Europe and Central Asia,1830
Linum perenne,Americas,1796
Linum perenne,Europe and Central Asia,1826
Linum strictum,Asia and the Pacific,1974
Linum suaedifolium,Asia and the Pacific,1887
Linum sulcatum,Americas,1967
Linum trigynum,Americas,1912
Linum trigynum,Asia and the Pacific,1871
Linum trigynum,Europe and Central Asia,2001
Linum usitatissimum,Americas,1846
Linum usitatissimum,Asia and the Pacific,1869
Linum usitatissimum,Europe and Central Asia,1632
Linum virginianum,Asia and the Pacific,1997
Linyphia triangularis,Americas,2005
Linzia nigritiana,Africa,1934
Liocarcinus navigator,Americas,2002
Lioconcha fastigiata,Americas,1985
Lionychus quadrillum,Europe and Central Asia,1940
Lioplacis elliptica,Asia and the Pacific,1976
Lioponera longitarsus,Africa,1939
Lioponera longitarsus,Asia and the Pacific,1985
Lioponera longitarsus,Europe and Central Asia,2009
Liorhyssus hyalinus,Europe and Central Asia,1996
Liosomaphi berberidis,Asia and the Pacific,1944
Liosomaphis berberidis,Americas,1846
Liothrips urichi,Americas,1953
Liothrips urichi,Asia and the Pacific,1930
Liothrips vaneeckei,Asia and the Pacific,1940
Liotryphon caudatus,Asia and the Pacific,1907
Lipamyzodes matthiolae,Americas,1976
Lipandra polysperma,Americas,1919
Lipandra polysperma,Europe and Central Asia,1597
Lipaphis fritzmuelleri,Europe and Central Asia,1950
Lipaphis pseudobrassicae,Americas,1899
Lipaphis pseudobrassicae,Asia and the Pacific,1928
Liparus glabrirostris,Europe and Central Asia,1869
Lipeurus caponis,Americas,1992
Lipeurus caponis,Europe and Central Asia,1989
Lipeurus maculosus,Asia and the Pacific,1842
Lipeurus maculosus,Europe and Central Asia,1977
Lipinia noctua,Americas,400
Lipoblepharis urticifolia,Asia and the Pacific,1989
Liposcelis albothoracica,Europe and Central Asia,1955
Liposcelis arenicola,Europe and Central Asia,1981
Liposcelis bostrychophila,Americas,2003
Liposcelis bostrychophila,Europe and Central Asia,1943
Liposcelis brunnea,Europe and Central Asia,1852
Liposcelis corrodens,Europe and Central Asia,1909
Liposcelis decolor,Europe and Central Asia,1925
Liposcelis deltachi,Americas,2002
Liposcelis entomophila,Americas,2001
Liposcelis entomophila,Europe and Central Asia,1929
Liposcelis mendax,Europe and Central Asia,1946
Liposcelis obscura,Europe and Central Asia,1954
Liposcelis paeta,Europe and Central Asia,1942
Liposcelis paetula,Europe and Central Asia,1945
Liposcelis pearmani,Europe and Central Asia,1945
Liposcelis pubescens,Europe and Central Asia,1943
Liposcelis rufa,Americas,2002
Liposcelis simulans,Europe and Central Asia,1939
Lippia alba,Asia and the Pacific,1953
Liquidambar styraciflua,Asia and the Pacific,1843
Liquidambar styraciflua,Europe and Central Asia,1895
Liriodendron tulipifera,Asia and the Pacific,1888
Liriodendron tulipifera,Europe and Central Asia,1929
Liriogramma sarcophagus,Europe and Central Asia,2001
Liriomyza brassicae,Asia and the Pacific,1975
Liriomyza bryoniae,Asia and the Pacific,1984
Liriomyza chenopodii,Asia and the Pacific,1941
Liriomyza chinensis,Europe and Central Asia,1982
Liriomyza huidobrensis,Africa,1990
Liriomyza huidobrensis,Americas,1989
Liriomyza huidobrensis,Asia and the Pacific,1993
Liriomyza huidobrensis,Europe and Central Asia,1989
Liriomyza sativae,Asia and the Pacific,1993
Liriomyza sativae,Europe and Central Asia,1980
Liriomyza sonchi,Americas,1987
Liriomyza trifolii,Africa,1976
Liriomyza trifolii,Asia and the Pacific,1988
Liriomyza trifolii,Europe and Central Asia,1950
Liriope muscari,Europe and Central Asia,1987
Liriope spicata,Europe and Central Asia,1807
Lisaea heterocarpa,Asia and the Pacific,1998
Lissachatina fulica,Africa,1803
Lissachatina fulica,Americas,1936
Lissachatina fulica,Asia and the Pacific,1900
Lissachatina fulica,Europe and Central Asia,2000
Lissanthe strigosa,Asia and the Pacific,1997
Lissoclinum fragile,Americas,1962
Lissodendoryx schmidti,Europe and Central Asia,1969
Lissorhoptrus oryzophilus,Asia and the Pacific,1976
Lissorhoptrus oryzophilus,Europe and Central Asia,2004
Listia bainesii,Asia and the Pacific,1960
Listroderes costirostris,Asia and the Pacific,1942
Listroderes costirostris,Europe and Central Asia,1950
Listroderes delaiguei,Asia and the Pacific,1931
Listroderes difficilis,Asia and the Pacific,1920
Listroderes foveatus,Asia and the Pacific,1950
Listronotus bonariensis,Americas,1985
Listronotus setosipennis,Asia and the Pacific,1982
Listronotus silvestris,Asia and the Pacific,1927
Listrophorus americanus,Europe and Central Asia,1955
Listrophorus dozieri,Europe and Central Asia,2004
Listrophorus faini,Europe and Central Asia,2004
Listrophorus validus,Europe and Central Asia,2004
Litargus balteatus,Asia and the Pacific,1975
Litargus balteatus,Europe and Central Asia,1983
Litargus vestitus,Asia and the Pacific,1958
Litchi chinensis,Asia and the Pacific,1972
Lithobates berlandieri,Americas,1960
Lithobates catesbeianus,Americas,1885
Lithobates catesbeianus,Asia and the Pacific,1918
Lithobates catesbeianus,Europe and Central Asia,1801
Lithobates clamitans,Americas,1860
Lithobates grylio,Americas,1952
Lithobates grylio,Asia and the Pacific,1987
Lithobates heckscheri,Asia and the Pacific,1987
Lithobates pipiens,Americas,1899
Lithobates septentrionalis,Americas,2002
Lithobates sphenocephalus,Americas,1921
Lithobates sylvaticus,Americas,1963
Lithocarpus glaber,Asia and the Pacific,1843
Lithocharis nigriceps,Asia and the Pacific,1975
Lithocharis nigriceps,Europe and Central Asia,1912
Lithocharis vilis,Asia and the Pacific,1975
Lithodes maja,Europe and Central Asia,1882
Lithoglyphus naticoides,Europe and Central Asia,1800
Lithognathus mormyrus,Europe and Central Asia,1980
Lithomyrtus obtusa,Asia and the Pacific,1977
Lithophyllum crouaniorum,Europe and Central Asia,2007
Lithophyllum yessoense,Europe and Central Asia,1993
Lithospermum arvense,Americas,1928
Lithospermum arvense,Asia and the Pacific,1867
Lithospermum arvense,Europe and Central Asia,1562
Lithospermum officinale,Americas,1813
Lithospermum officinale,Europe and Central Asia,1700
Lithospermum purpureocoeruleum,Europe and Central Asia,1992
Lithostygnus serripennis,Europe and Central Asia,1928
Lithotoma axillaris,Europe and Central Asia,1925
Lithraeus atronotatus,Americas,1960
Lithurgus chrysurus,Americas,1970
Litoria ewingii,Asia and the Pacific,1875
Litoria fallax,Asia and the Pacific,1968
Litosiphon laminariae,Europe and Central Asia,1981
Litsea glutinosa,Africa,1825
Littoridinops monroensis,Americas,1996
Littorina compressa,Europe and Central Asia,1986
Littorina littorea,Americas,1840
Littorina littorea,Asia and the Pacific,1839
Littorina saxatilis,Africa,1972
Littorina saxatilis,Asia and the Pacific,1992
Littorina saxatilis,Europe and Central Asia,1792
Littorophiloscia culebrae,Americas,1983
Liturgusa maya,Americas,2014
Lius poseidon,Americas,1988
Livilla variegata,Europe and Central Asia,1978
Livistona australis,Asia and the Pacific,1843
Livistona chinensis,Asia and the Pacific,1912
Livistona humilis,Asia and the Pacific,1843
