Taxon,Region,FirstRecord
Antilope cervicapra,Americas,1985
Aonidiella aurantii,Americas,1874
Apera spica-venti,Americas,1975
Aphanius dispar,Europe and Central Asia,1943
Aphanomyces astaci,Europe and Central Asia,1877
Aphanostigma piri,Asia and the Pacific,1979
Aphis citricidus,Americas,1995
Aphis forbesi,Europe and Central Asia,1969
Aphis spiraephaga,Europe and Central Asia,1955
Apios americana,Europe and Central Asia,1642
Apis mellifera,Americas,1967
Apium graveolens,Americas,1874
Aponogeton distachyos,Asia and the Pacific,1869
Aproceros leucopoda,Europe and Central Asia,2009
Aquilegia vulgaris,Europe and Central Asia,1803
Aquilonastra burtoni,Europe and Central Asia,1953
Arabis caucasica,Europe and Central Asia,1658
Aramigus tessellatus,Americas,1939
Arapaima gigas,Asia and the Pacific,1992
Araujia sericifera,Africa,1918
Araujia sericifera,Americas,1895
Araujia sericifera,Asia and the Pacific,1888
Araujia sericifera,Europe and Central Asia,1842
Arctium lappa,Americas,1901
Arctium minus,Americas,1860
Arctium minus,Asia and the Pacific,1894
Arctium tomentosum,Europe and Central Asia,1843
Arctotheca calendula,Americas,1940
Arctotheca calendula,Asia and the Pacific,1869
Arctotheca calendula,Europe and Central Asia,1804
Arctotheca prostrata,Americas,1984
Arcuatula senhousia,Americas,1970
Arcuatula senhousia,Europe and Central Asia,1971
Ardisia crenata,Africa,1955
Ardisia crenata,Americas,1982
Arenaria serpyllifolia,Americas,1813
Arge berberidis,Europe and Central Asia,2000
Argemone mexicana,Africa,1894
Argemone mexicana,Asia and the Pacific,1910
Argemone ochroleuca,Africa,1885
Argemone ochroleuca,Asia and the Pacific,1903
Argyresthia thuiella,Europe and Central Asia,1988
Arion distinctus,Europe and Central Asia,1950
Arion lusitanicus,Europe and Central Asia,1957
Arion rufus,Europe and Central Asia,1850
Arion vulgaris,Europe and Central Asia,1829
Aristea ecklonii,Asia and the Pacific,1889
Aristolochia elegans,Africa,1914
Armoracia rusticana,Americas,1865
Armoracia rusticana,Europe and Central Asia,1777
Arrhenatherum elatius,Americas,1882
Arrhenatherum elatius,Asia and the Pacific,1931
Arrhenatherum elatius,Europe and Central Asia,1867
Artemia franciscana,Europe and Central Asia,1985
Artemisia absinthium,Americas,1860
Artemisia annua,Americas,1962
Artemisia annua,Europe and Central Asia,1772
Artemisia biennis,Europe and Central Asia,1917
Artemisia sieversiana,Asia and the Pacific,1952
Artemisia verlotiorum,Asia and the Pacific,1926
Artemisia verlotiorum,Europe and Central Asia,1897
Artemisia vulgaris,Americas,1813
Arthraxon hispidus,Americas,1984
Arthurdendyus triangulatus,Europe and Central Asia,1963
Arum italicum,Americas,1960
Arum italicum,Asia and the Pacific,1945
Aruncus dioicus,Europe and Central Asia,1923
Arundo donax,Africa,1811
Arundo donax,Americas,1847
Arundo donax,Asia and the Pacific,1936
Arundo donax,Europe and Central Asia,1787
Ascidiella aspersa,Americas,2012
Ascidiella aspersa,Asia and the Pacific,1898
Asclepias syriaca,Europe and Central Asia,1901
Asparagopsis armata,Europe and Central Asia,1949
Asparagopsis taxiformis,Europe and Central Asia,1808
Asparagus aethiopicus,Asia and the Pacific,1951
Asparagus africanus,Asia and the Pacific,1976
Asparagus asparagoides,Americas,1947
Asparagus asparagoides,Asia and the Pacific,1843
Asparagus declinatus,Asia and the Pacific,1888
Asparagus scandens,Asia and the Pacific,1945
Asparagus setaceus,Asia and the Pacific,1959
Asperugo procumbens,Americas,1910
Asphodelus fistulosus,Americas,1930
Asphodelus fistulosus,Asia and the Pacific,1868
Aster lanceolatus,Europe and Central Asia,1863
Aster salignus,Europe and Central Asia,1700
Aster subulatus,Asia and the Pacific,1947
Asterias amurensis,Asia and the Pacific,1985
Asterias rubens,Europe and Central Asia,2003
Asterocarpa humilis,Europe and Central Asia,2013
Asterolecanium minus,Americas,2000
Asterolecanium variolosum,Americas,1904
Astragalus cicer,Americas,1910
Astragalus sinicus,Asia and the Pacific,1709
Astronotus ocellatus,Americas,1971
Atherinomorus lacunosus,Europe and Central Asia,1924
Atrichonotus taeniatulus,Americas,1902
Atriplex hortensis,Americas,1895
Atriplex lindleyi,Africa,1906
Atriplex patula,Americas,1898
Atriplex rosea,Americas,1983
Atriplex sagittata,Europe and Central Asia,1892
Atriplex semibaccata,Americas,1898
Atriplex suberecta,Americas,1965
Atriplex tatarica,Americas,1954
Aulacaspis yasumatsui,Asia and the Pacific,2008
Aulagromyza populicola,Americas,1956
Australoheros facetus,Europe and Central Asia,1940
Australoplana sanguinea,Europe and Central Asia,1970
Austrocylindropuntia cylindrica,Asia and the Pacific,1955
Austrocylindropuntia subulata,Asia and the Pacific,2005
Austrominius modestus,Europe and Central Asia,1940
Austropuccinia psidii,Asia and the Pacific,2010
Austrostipa rudis,Asia and the Pacific,1989
Avena barbata,Americas,1600
Avena fatua,Americas,1850
Avena fatua,Asia and the Pacific,-1000
Avena sativa,Americas,1600
Avena sterilis,Asia and the Pacific,2007
Avena strigosa,Europe and Central Asia,1880
Axis axis,Americas,1906
Axis axis,Asia and the Pacific,1905
Axis porcinus,Asia and the Pacific,1866
Axonopus fissifolius,Asia and the Pacific,1953
Axyris amaranthoides,Americas,1942
Azadirachta indica,Africa,1915
Azadirachta indica,Americas,2000
Azadirachta indica,Asia and the Pacific,1809
Azolla filiculoides,Africa,1948
Azolla filiculoides,Asia and the Pacific,1970
Azolla filiculoides,Europe and Central Asia,1850
Babka gymnotrachelus,Europe and Central Asia,1995
Baccharis halimifolia,Asia and the Pacific,1975
Baccharis halimifolia,Europe and Central Asia,1683
Bactrocera correcta,Asia and the Pacific,1989
Bactrocera cucurbitae,Africa,1999
Bactrocera cucurbitae,Asia and the Pacific,1919
Bactrocera dorsalis,Asia and the Pacific,1911
Bactrocera invadens,Africa,2005
Bactrocera tsuneonis,Asia and the Pacific,1956
Balanus glandula,Africa,1992
Bambusa textilis,Americas,1963
Banksia integrifolia,Asia and the Pacific,1989
Barbarea verna,Americas,1914
Barbonymus gonionotus,Asia and the Pacific,1956
Barbronia weberi,Europe and Central Asia,2005
Barbus barbus,Europe and Central Asia,1995
Barentsia benedeni,Americas,1929
Bartlettina sordida,Asia and the Pacific,1974
Bassia hyssopifolia,Americas,1919
Bassia indica,Africa,1930
Bassia scoparia,Americas,1898
Batocera rufomaculata,Europe and Central Asia,1942
Batrachedra knabi,Europe and Central Asia,2016
Bauhinia variegata,Africa,1891
Bellardia trixago,Americas,1889
Bellis perennis,Americas,1818
Bellis perennis,Europe and Central Asia,1778
Bemisia tabaci,Americas,1897
