Taxon,Region,FirstRecord
Eucalyptus globulus,Africa,1971
Eucalyptus globulus,Americas,1907
Eucalyptus globulus,Europe and Central Asia,1943
Eucalyptus grandis,Africa,1885
Eucalyptus polyanthemos,Americas,1894
Eucalyptus robusta,Americas,1933
Eucalyptus tereticornis,Americas,1908
Euchiton japonicus,Americas,2002
Euchiton sphaericus,Americas,1915
Eucrate crenata,Africa,1985
Eudendrium carneum,Europe and Central Asia,1985
Eugenia uniflora,Africa,1834
Euglandina rosea,Asia and the Pacific,1963
Eulachnus rileyi,Africa,1979
Eulophia graminea,Americas,2007
Euodice malabarica,Asia and the Pacific,1985
Euodice malabarica,Europe and Central Asia,1985
Euonymus alatus,Americas,1950
Euonymus europaeus,Americas,1898
Euonymus europaeus,Asia and the Pacific,1954
Euonymus japonicus,Asia and the Pacific,1970
Eupatorium cannabinum,Asia and the Pacific,1972
Euphorbia cyparissias,Americas,1891
Euphorbia cyparissias,Europe and Central Asia,1803
Euphorbia davidii,Europe and Central Asia,1995
Euphorbia dentata,Asia and the Pacific,1976
Euphorbia esula,Americas,1825
Euphorbia heterophylla,Africa,1924
Euphorbia heterophylla,Asia and the Pacific,1937
Euphorbia hirta,Africa,1917
Euphorbia hirta,Asia and the Pacific,1820
Euphorbia hypericifolia,Asia and the Pacific,1924
Euphorbia indica,Africa,1948
Euphorbia lathyris,Americas,1885
Euphorbia maculata,Asia and the Pacific,1895
Euphorbia maculata,Europe and Central Asia,1875
Euphorbia myrsinites,Americas,1987
Euphorbia nutans,Europe and Central Asia,1752
Euphorbia oblongata,Americas,1929
Euphorbia peplus,Americas,1892
Euphorbia peplus,Asia and the Pacific,1925
Euphorbia prostrata,Africa,1931
Euphorbia prostrata,Asia and the Pacific,1921
Euphorbia prostrata,Europe and Central Asia,1827
Euphorbia serpens,Africa,1922
Euphorbia terracina,Americas,1967
Euphorbia tirucalli,Africa,1931
Euphorbia virgata,Americas,1938
Euplectes orix,Asia and the Pacific,1973
Euproctis chrysorrhoea,Americas,1807
Eurytemora americana,Americas,1986
Eusarsiella zostericola,Europe and Central Asia,2012
Euscepes postfasciatus,Asia and the Pacific,1947
Evolvulus nummularius,Asia and the Pacific,2001
Exomala orientalis,Americas,1920
Exomias pellucidus,Americas,1886
Fagopyrum esculentum,Americas,1894
Fagopyrum tataricum,Americas,1861
Fallopia baldschuanica,Europe and Central Asia,1936
Fallopia convolvulus,Americas,1821
Fallopia convolvulus,Europe and Central Asia,1548
Fatoua villosa,Americas,1964
Fatsia japonica,Asia and the Pacific,1978
Favolaschia calocera,Asia and the Pacific,2006
Faxonius immunis,Europe and Central Asia,1993
Faxonius limosus,Europe and Central Asia,1895
Faxonius virilis,Europe and Central Asia,2004
Fejervarya kawamurai,Asia and the Pacific,1994
Fejervarya sakishimensis,Asia and the Pacific,1922
Felis catus,Africa,1462
Felis catus,Americas,1506
Felis catus,Asia and the Pacific,1000
Felis catus,Europe and Central Asia,450
Felis silvestris,Americas,1921
Fenusa pumila,Americas,1861
Fenusa ulmi,Americas,1925
Ferrissia californica,Europe and Central Asia,1959
Festuca arundinacea,Asia and the Pacific,1905
Festuca rubra,Asia and the Pacific,1871
Festuca rubra,Europe and Central Asia,1875
Festuca trachyphylla,Americas,1943
Festuca valesiaca,Americas,1999
Fibrocapsa japonica,Europe and Central Asia,1992
Ficopomatus enigmaticus,Africa,1927
Ficopomatus enigmaticus,Americas,1940
Ficopomatus enigmaticus,Asia and the Pacific,1966
Ficopomatus enigmaticus,Europe and Central Asia,1919
Ficus benghalensis,Europe and Central Asia,1948
Ficus carica,Americas,1901
Ficus carica,Asia and the Pacific,1869
Ficus religiosa,Europe and Central Asia,1980
Ficus rubiginosa,Asia and the Pacific,1980
Fiorinia phantasma,Americas,2018
Fiorinia proboscidaria,Americas,2013
Fistularia commersonii,Africa,2005
Fistularia commersonii,Europe and Central Asia,1999
Flaveria bidentis,Asia and the Pacific,1997
Flaveria trinervia,Africa,1931
Foeniculum vulgare,Americas,1882
Foudia madagascariensis,Africa,1860
Fragaria moschata,Europe and Central Asia,1700
Frangula alnus,Americas,1800
Frankliniella occidentalis,Asia and the Pacific,1990
Frankliniella occidentalis,Europe and Central Asia,1983
Fraxinus excelsior,Asia and the Pacific,1903
Fraxinus pennsylvanica,Europe and Central Asia,1835
Fuchsia boliviana,Asia and the Pacific,1972
Fucus evanescens,Europe and Central Asia,1948
Fulvia fragilis,Africa,1990
Fulvia fragilis,Europe and Central Asia,1997
Fundulus zebrinus,Americas,1984
Furcraea foetida,Asia and the Pacific,1956
Galega officinalis,Americas,1892
Galega officinalis,Asia and the Pacific,1906
Galega officinalis,Europe and Central Asia,1819
Galega orientalis,Europe and Central Asia,1807
Galeopsis bifida,Americas,1889
Galeopsis tetrahit,Americas,1821
Galinsoga parviflora,Africa,1926
Galinsoga parviflora,Americas,1893
Galinsoga parviflora,Asia and the Pacific,1845
Galinsoga parviflora,Europe and Central Asia,1801
Galinsoga quadriradiata,Americas,1978
Galinsoga quadriradiata,Asia and the Pacific,1922
Galinsoga quadriradiata,Europe and Central Asia,1841
Galium mollugo,Americas,1873
Galium odoratum,Americas,1904
Gallus gallus,Asia and the Pacific,1642
Gambusia affinis,Africa,1929
Gambusia affinis,Americas,1937
Gambusia affinis,Asia and the Pacific,1905
Gambusia affinis,Europe and Central Asia,1919
Gambusia holbrooki,Africa,1929
Gambusia holbrooki,Americas,1930
Gambusia holbrooki,Asia and the Pacific,1925
Gambusia holbrooki,Europe and Central Asia,1920
Gammarus lacustris,Europe and Central Asia,1972
Gammarus pulex,Europe and Central Asia,1958
Gammarus tigrinus,Europe and Central Asia,1931
Gamochaeta pensylvanica,Asia and the Pacific,1916
Gamochaeta pensylvanica,Europe and Central Asia,1944
Gamochaeta purpurea,Africa,1950
Garrulax canorus,Asia and the Pacific,1981
Garrulax perspicillatus,Asia and the Pacific,2005
Garrulax sannio,Asia and the Pacific,1994
Gastridium phleoides,Americas,1800
Gaultheria shallon,Europe and Central Asia,1914
Gazania linearis,Americas,1945
Gehyra mutilata,Africa,1864
Gekko gecko,Americas,1961
Gekko hokouensis,Asia and the Pacific,1960
Genista linifolia,Americas,1952
Genista linifolia,Asia and the Pacific,1843
Genista monspessulana,Africa,1900
Genista monspessulana,Americas,1800
Genista monspessulana,Asia and the Pacific,1858
Genista tinctoria,Americas,1645
Geranium columbinum,Americas,1921
Geranium dissectum,Americas,1862
Geranium lucidum,Americas,1971
Geranium molle,Americas,1884
Geranium purpureum,Americas,1976
Geranium pusillum,Americas,1885
Geranium pyrenaicum,Europe and Central Asia,1819
Geranium robertianum,Americas,1947
Geranium sanguineum,Americas,1885
Geum macrophyllum,Europe and Central Asia,1884
Geum urbanum,Americas,1895
Gibelion catla,Asia and the Pacific,1980
Gila orcuttii,Americas,1955
Gilpinia hercyniae,Americas,1922
Glebionis coronaria,Americas,1881
Glebionis segetum,Americas,1887
Glechoma hederacea,Americas,1672
Gleditsia triacanthos,Africa,1831
Glis glis,Europe and Central Asia,1902
Globodera rostochiensis,Africa,1977
Globodera rostochiensis,Asia and the Pacific,1972
Glossostigma cleistanthum,Americas,1972
Glycaspis brimblecombei,Americas,1998
Glyceria declinata,Americas,1928
Glyceria declinata,Asia and the Pacific,1932
Glyceria fluitans,Asia and the Pacific,1871
Glyceria maxima,Americas,1940
Glyceria maxima,Asia and the Pacific,1906
Glyceria maxima,Europe and Central Asia,1827
Glyceria striata,Europe and Central Asia,1956
Gmelina costata,Europe and Central Asia,1965
Gmelinoides fasciatus,Europe and Central Asia,1962
Gnaphalium uliginosum,Americas,1672
Gomphrena serrata,Africa,1917
Gomphrena serrata,Asia and the Pacific,1845
Gonipterus scutellatus,Americas,1994
Gracilaria vermiculophylla,Europe and Central Asia,2002
Grandidierella japonica,Europe and Central Asia,2010
Graphocephala fennahi,Europe and Central Asia,1933
Grapholita molesta,Europe and Central Asia,1964
Grateloupia turuturu,Europe and Central Asia,1973
Gremmeniella abietina,Americas,1974
Grevillea robusta,Africa,1858
Grevillea robusta,Americas,1934
Grindelia squarrosa,Europe and Central Asia,1949
Guilleminea densa,Africa,1959
Guizotia abyssinica,Americas,1993
Gunnera manicata,Europe and Central Asia,1935
Gunnera tinctoria,Americas,2008
Gunnera tinctoria,Asia and the Pacific,1958
Gunnera tinctoria,Europe and Central Asia,1908
Gymnocephalus cernua,Americas,1986
Gymnocephalus cernua,Europe and Central Asia,1985
Gymnocoronis spilanthoides,Asia and the Pacific,1991
Gymnocorymbus ternetzi,Americas,1971
Gymnorhina tibicen,Asia and the Pacific,1861
Gypsophila elegans,Americas,1906
Gypsophila paniculata,Americas,1902
Gypsophila paniculata,Europe and Central Asia,1858
Gypsophila scorzonerifolia,Americas,1982
Gypsophila vaccaria,Americas,1881
Gyrinocheilus aymonieri,Americas,1971
Gyrodactylus anguillae,Americas,1977
Gyrodactylus mugili,Europe and Central Asia,1995
Gyrodactylus salaris,Europe and Central Asia,1973
Gyrodactylus zhukovi,Europe and Central Asia,1995
Haematobia irritans,Americas,1887
Hakea drupacea,Africa,1850
Hakea drupacea,Asia and the Pacific,1934
Hakea gibbosa,Africa,1835
Hakea gibbosa,Asia and the Pacific,1937
Hakea salicifolia,Africa,1858
Hakea salicifolia,Asia and the Pacific,1907
Hakea salicifolia,Europe and Central Asia,1989
Hakea sericea,Africa,1858
Hakea sericea,Asia and the Pacific,1882
Halogeton glomeratus,Americas,1935
Halophila stipulacea,Europe and Central Asia,1894
Halyomorpha halys,Europe and Central Asia,2012
Harmonia axyridis,Americas,1916
Harmonia axyridis,Europe and Central Asia,1968
Hebius vibakari,Asia and the Pacific,1968
Hedera canariensis,Americas,1964
Hedera helix,Americas,1748
Hedera helix,Asia and the Pacific,1872
Hedera hibernica,Americas,1959
Hedera hibernica,Europe and Central Asia,1925
Hedychium coccineum,Africa,1957
Hedychium coronarium,Africa,1931
Hedychium coronarium,Americas,1933
Hedychium flavescens,Africa,1931
Hedychium flavescens,Asia and the Pacific,1898
Hedychium gardnerianum,Africa,1930
Hedychium gardnerianum,Asia and the Pacific,1940
Hedychium gardnerianum,Europe and Central Asia,1999
Helianthus tuberosus,Asia and the Pacific,1859
Helianthus tuberosus,Europe and Central Asia,1606
Helichrysum luteoalbum,Americas,1881
Helichrysum petiolare,Americas,1968
Helichrysum petiolare,Asia and the Pacific,1991
Heliotropium amplexicaule,Americas,1876
Heliotropium curassavicum,Africa,1956
Helix pomatia,Europe and Central Asia,1853
Helleborus foetidus,Europe and Central Asia,1870
Helminthotheca echioides,Americas,1891
Hemerocallis fulva,Americas,1875
Hemiberlesia pitysophila,Asia and the Pacific,1965
Hemichromis guttatus,Americas,1998
Hemiculter leucisculus,Asia and the Pacific,1967
Hemiculter leucisculus,Europe and Central Asia,1960
Hemidactylus frenatus,Americas,1860
Hemidactylus frenatus,Asia and the Pacific,1940
Hemidactylus garnotii,Americas,1951
Hemidactylus mabouia,Americas,1962
Hemidactylus turcicus,Americas,1910
Hemigrammus erythrozonus,Americas,1971
Hemigrapsus sanguineus,Europe and Central Asia,1999
Hemigrapsus takanoi,Europe and Central Asia,1993
Hemimysis anomala,Europe and Central Asia,1995
Hemitragus jemlahicus,Asia and the Pacific,1904
Heracleum mantegazzianum,Americas,1949
Heracleum mantegazzianum,Asia and the Pacific,1968
Heracleum mantegazzianum,Europe and Central Asia,1600
Heracleum persicum,Europe and Central Asia,1830
Heracleum sosnowskyi,Europe and Central Asia,1948
Herissantia crispa,Asia and the Pacific,1900
Herklotsichthys punctatus,Europe and Central Asia,1943
Herpestes javanicus,Africa,1900
Herpestes javanicus,Americas,1792
Herpestes javanicus,Asia and the Pacific,1883
Herpestes javanicus,Europe and Central Asia,1910
Hesperis matronalis,Americas,1860
Hesperis matronalis,Europe and Central Asia,1820
Hestina assimilis,Asia and the Pacific,1995
Heteranthera reniformis,Europe and Central Asia,1968
Heterobostrychus aequalis,Asia and the Pacific,1988
Heteropsylla cubana,Africa,1992
Heterosaccus dollfusi,Europe and Central Asia,1992
Heterosigma akashiwo,Europe and Central Asia,1972
Heterotheca subaxillaris,Europe and Central Asia,1975
Heterotis niloticus,Africa,1963
Hexasepalum teres,Asia and the Pacific,1920
Hibiscus trionum,Asia and the Pacific,1406
Hieracium caespitosum,Americas,1879
Hieracium caespitosum,Asia and the Pacific,1940
Hieracium glomeratum,Americas,2001
Hieracium lepidulum,Asia and the Pacific,1941
Hieracium piloselloides,Americas,1849
Hieracium praealtum,Asia and the Pacific,1919
Hieracium sabaudum,Americas,1931
Himantopus mexicanus,Asia and the Pacific,2001
Hippophae rhamnoides,Americas,1950
Hippophae rhamnoides,Europe and Central Asia,1800
Hirschfeldia incana,Americas,1896
Holcus lanatus,Americas,1755
Holcus lanatus,Asia and the Pacific,1844
Holcus mollis,Americas,1914
Homadaula albizziae,Americas,1940
Homalanthus populifolius,Asia and the Pacific,1969
Homarus americanus,Europe and Central Asia,1990
Hoplobatrachus rugulosus,Asia and the Pacific,1995
Hordeum jubatum,Europe and Central Asia,1835
Hordeum marinum,Americas,1884
Hordeum murinum,Americas,1860
Hordeum vulgare,Americas,1903
Humulus lupulus,Asia and the Pacific,1871
Humulus scandens,Americas,1915
Hyacinthoides hispanica,Americas,1962
Hyacinthoides hispanica,Europe and Central Asia,1887
Hyacinthoides massartiana,Europe and Central Asia,1991
Hydrangea macrophylla,Asia and the Pacific,1973
Hydrellia wirthi,Americas,2004
Hydrilla verticillata,Africa,2006
Hydrilla verticillata,Americas,1905
Hydrilla verticillata,Asia and the Pacific,1963
Hydrocharis morsus-ranae,Americas,1932
Hydrocleys nymphoides,Asia and the Pacific,1914
Hydrocotyle ranunculoides,Asia and the Pacific,1998
Hydrocotyle ranunculoides,Europe and Central Asia,1990
Hydrocotyle verticillata,Asia and the Pacific,2000
Hydroides dianthus,Europe and Central Asia,1865
Hydroides elegans,Europe and Central Asia,1937
Hydroides ezoensis,Europe and Central Asia,1976
Hydroides heterocera,Europe and Central Asia,1990
Hydroides homoceros,Europe and Central Asia,1955
Hydroides minax,Europe and Central Asia,1990
Hydroides operculata,Europe and Central Asia,1959
Hydropotes inermis,Europe and Central Asia,1900
Hygrophila polysperma,Americas,1953
Hylastes opacus,Americas,1987
Hylurgus ligniperda,Americas,1985
Hymenachne amplexicaulis,Americas,2013
Hymenachne amplexicaulis,Asia and the Pacific,1990
Hymeniacidon perlevis,Americas,2012
Hymenoscyphus fraxineus,Europe and Central Asia,1825
Hyoscyamus niger,Americas,1907
Hypania invalida,Europe and Central Asia,1958
Hyparrhenia bracteata,Americas,1945
Hyparrhenia hirta,Americas,1888
Hyparrhenia rufa,Americas,1957
Hypera postica,Asia and the Pacific,1950
Hypericum androsaemum,Asia and the Pacific,1869
Hypericum calycinum,Americas,1951
Hypericum canariense,Americas,1928
Hypericum perforatum,Africa,1942
Hypericum perforatum,Americas,1725
Hypericum perforatum,Asia and the Pacific,1868
Hyphantria cunea,Asia and the Pacific,1945
Hyphantria cunea,Europe and Central Asia,1950
Hyphessobrycon herbertaxelrodi,Americas,1971
Hyphessobrycon pulchripinnis,Americas,1971
Hypochaeris glabra,Americas,1877
Hypochaeris radicata,Americas,1884
Hypochaeris radicata,Asia and the Pacific,1933
Hypophthalmichthys molitrix,Africa,1976
Hypophthalmichthys molitrix,Americas,1965
Hypophthalmichthys molitrix,Asia and the Pacific,1878
Hypophthalmichthys molitrix,Europe and Central Asia,1959
Hypophthalmichthys nobilis,Americas,1970
Hypophthalmichthys nobilis,Asia and the Pacific,1958
Hypophthalmichthys nobilis,Europe and Central Asia,1960
Hypostomus plecostomus,Americas,1965
Hyptis brevipes,Asia and the Pacific,1922
Hyptis capitata,Asia and the Pacific,1922
Hystrix cristata,Europe and Central Asia,560
Ianiropsis serricaudis,Europe and Central Asia,2000
Icerya purchasi,Americas,1866
Icerya purchasi,Asia and the Pacific,1904
Ichthyosaura alpestris,Europe and Central Asia,1928
Ictalurus punctatus,Americas,1971
Ictalurus punctatus,Asia and the Pacific,1971
Ictalurus punctatus,Europe and Central Asia,1935
Idesia polycarpa,Asia and the Pacific,1979
Iguana iguana,Americas,1964
Iguana iguana,Asia and the Pacific,1994
Ilex aquifolium,Americas,1923
Ilex aquifolium,Asia and the Pacific,1901
Ilex crenata,Americas,1954
Impatiens glandulifera,Americas,1939
Impatiens glandulifera,Asia and the Pacific,1909
Impatiens glandulifera,Europe and Central Asia,1658
Impatiens parviflora,Americas,2006
Impatiens parviflora,Europe and Central Asia,1830
Impatiens sodenii,Asia and the Pacific,1950
Impatiens walleriana,Asia and the Pacific,1985
Incisitermes minor,Asia and the Pacific,1937
Indotyphlops braminus,Americas,1900
Inula helenium,Americas,1850
Ipomoea alba,Africa,1858
Ipomoea aquatica,Americas,1981
Ipomoea cairica,Asia and the Pacific,1912
Ipomoea carnea,Africa,1932
Ipomoea carnea,Asia and the Pacific,1802
Ipomoea coccinea,Asia and the Pacific,1848
Ipomoea hederacea,Asia and the Pacific,1927
Ipomoea indica,Africa,1890
Ipomoea indica,Asia and the Pacific,1950
Ipomoea indica,Europe and Central Asia,1842
Ipomoea purpurea,Africa,1830
Ipomoea purpurea,Americas,1900
Ipomoea purpurea,Asia and the Pacific,1890
Ipomoea purpurea,Europe and Central Asia,1918
Ipomoea triloba,Asia and the Pacific,1900
Iridomyrmex anceps,Asia and the Pacific,1997
Iris foetidissima,Asia and the Pacific,1898
Iris pseudacorus,Americas,1869
Iris pseudacorus,Asia and the Pacific,1878
Isatis tinctoria,Americas,1894
Isodontia mexicana,Europe and Central Asia,1985
Isognomon bicolor,Americas,1982
Jacaranda mimosifolia,Africa,1830
Jacobaea maritima,Europe and Central Asia,1661
Jacquemontia tamnifolia,Asia and the Pacific,20
Jasminum polyanthum,Asia and the Pacific,1963
Jatropha gossypiifolia,Africa,1955
Juglans ailanthifolia,Asia and the Pacific,1970
Juncus acutus,Asia and the Pacific,1923
Juncus articulatus,Asia and the Pacific,1864
Juncus bulbosus,Asia and the Pacific,1896
Juncus effusus,Asia and the Pacific,1864
Juncus gerardii,Asia and the Pacific,1891
Juncus microcephalus,Asia and the Pacific,1929
Juncus planifolius,Americas,1964
Juncus squarrosus,Asia and the Pacific,1910
Juncus tenuis,Europe and Central Asia,1821
Juniperus virginiana,Africa,1906
Kalanchoe delagoensis,Africa,1939
Kalanchoe delagoensis,Americas,1988
Kalanchoe pinnata,Americas,1962
Kalanchoe pinnata,Asia and the Pacific,1944
Kali collina,Americas,1940
Kali paulsenii,Americas,1926
Kali ryanii,Americas,1999
Kali tragus,Americas,1894
Kali turgidum,Americas,1743
Karenia mikimotoi,Europe and Central Asia,1966
Kennedia rubicunda,Asia and the Pacific,1945
Knautia arvensis,Americas,1903
Kniphofia uvaria,Americas,1955
Koenigia campanulata,Europe and Central Asia,1933
Koenigia polystachya,Americas,1934
Koenigia polystachya,Europe and Central Asia,1917
Krynickillus melanocephalus,Europe and Central Asia,1990
Kuzmelina kusnezowi,Europe and Central Asia,1982
Labeo rohita,Africa,1960
Labeo rohita,Asia and the Pacific,1968
Laburnum alpinum,Europe and Central Asia,1899
Laburnum anagyroides,Europe and Central Asia,1749
Lacerta bilineata,Europe and Central Asia,1872
Lachnagrostis filiformis,Americas,1920
Lachnellula willkommii,Americas,1904
Lactuca macrophylla,Europe and Central Asia,1700
Lactuca saligna,Americas,1915
Lactuca serriola,Americas,1883
Lactuca serriola,Europe and Central Asia,1803
Lactuca tatarica,Europe and Central Asia,1799
Lagarosiphon major,Asia and the Pacific,1950
Lagarosiphon major,Europe and Central Asia,1939
Lagocephalus sceleratus,Africa,2010
Lagocephalus sceleratus,Europe and Central Asia,2003
Lagocephalus spadiceus,Europe and Central Asia,1948
Lagocephalus suezensis,Europe and Central Asia,1987
Lagunaria patersonii,Asia and the Pacific,1993
Lamium amplexicaule,Americas,1862
Lamium galeobdolon,Americas,1986
Lamium galeobdolon,Asia and the Pacific,1980
Lamium maculatum,Americas,1879
Lamium purpureum,Americas,1910
Lamium purpureum purpureum,Asia and the Pacific,1893
Lanceogammarus andrussowi,Europe and Central Asia,1956
Lantana camara,Africa,1851
Lantana camara,Asia and the Pacific,1645
Laonome triangularis,Europe and Central Asia,2005
Lappula squarrosa,Americas,1970
Lapsana communis,Americas,1881
Larix decidua,Asia and the Pacific,1919
Larix kaempferi,Europe and Central Asia,1890
Lasioderma serricorne,Europe and Central Asia,1982
Lasius neglectus,Europe and Central Asia,1960
Lates niloticus,Africa,1954
Lates niloticus,Americas,1979
Lathyrus latifolius,Americas,1885
Lathyrus pratensis,Americas,1901
Lathyrus sylvestris,Americas,1912
Latrodectus geometricus,Americas,2013
Latrodectus geometricus,Asia and the Pacific,1995
Latrodectus hasselti,Asia and the Pacific,2003
Laurus nobilis,Asia and the Pacific,1976
Leersia hexandra,Asia and the Pacific,1820
Leiosolenus aristatus,Americas,2005
Leiothrix lutea,Asia and the Pacific,1980
Leiothrix lutea,Europe and Central Asia,1993
Lemna minuta,Europe and Central Asia,1953
Lemna turionifera,Europe and Central Asia,1982
Leodice antennata,Europe and Central Asia,1993
Leonnates persicus,Europe and Central Asia,2000
Leonotis nepetifolia,Americas,1937
Leontodon hispidus,Americas,1907
Leonurus cardiaca,Americas,1878
Lepidium appelianum,Americas,1912
Lepidium bonariense,Americas,1846
Lepidium densiflorum,Europe and Central Asia,1931
Lepidium didymum,Americas,1877
Lepidium didymum,Asia and the Pacific,1899
Lepidium didymum,Europe and Central Asia,1799
Lepidium draba,Americas,1937
Lepidium draba,Europe and Central Asia,1865
Lepidium heterophyllum,Americas,1927
Lepidium latifolium,Americas,1932
Lepidium latifolium,Europe and Central Asia,1825
Lepidium perfoliatum,Americas,1907
Lepidium ruderale,Americas,1895
Lepidium sativum,Americas,1914
Lepidium virginicum,Asia and the Pacific,1933
Lepidium virginicum,Europe and Central Asia,1650
Lepidodactylus lugubris,Asia and the Pacific,1971
Lepidosaphes ulmi,Americas,1794
Lepomis gibbosus,Europe and Central Asia,1809
Lepomis gulosus,Americas,1963
Lepomis macrochirus,Africa,1938
Lepomis macrochirus,Americas,1958
Lepomis macrochirus,Asia and the Pacific,1960
Lepomis marginatus,Americas,1984
Leptinotarsa decemlineata,Asia and the Pacific,1993
Leptinotarsa decemlineata,Europe and Central Asia,1945
Leptocybe invasa,Asia and the Pacific,2007
Leptodora kindti,Europe and Central Asia,1955
Leptoglossus occidentalis,Europe and Central Asia,2003
Leptospermum laevigatum,Africa,1850
Leptospermum laevigatum,Americas,1933
Leptospermum laevigatum,Asia and the Pacific,1960
Lepus europaeus,Americas,1886
Lepus europaeus,Europe and Central Asia,1852
Lepus nigricollis,Africa,1920
Leucaena leucocephala,Africa,1875
Leucaena leucocephala,Americas,1998
Leucaena leucocephala,Asia and the Pacific,1645
Leucanthemum maximum,Americas,1919
Leucanthemum vulgare,Americas,1743
Leucanthemum vulgare,Asia and the Pacific,1867
Leucaspius delineatus,Europe and Central Asia,1980
Leuciscus aspius,Europe and Central Asia,1984
Leuciscus idus,Asia and the Pacific,1982
Leuciscus idus,Europe and Central Asia,1870
Leuciscus leuciscus,Europe and Central Asia,1889
Leucojum aestivum,Americas,1898
Leucoma salicis,Americas,1918
Leveillula taurica,Americas,1950
Leycesteria formosa,Asia and the Pacific,1878
Leymus racemosus,Asia and the Pacific,1940
Libinia dubia,Africa,1996
Ligophorus kaohsianghsieni,Europe and Central Asia,1994
Ligustrum japonicum,Africa,1927
Ligustrum japonicum,Americas,1971
Ligustrum lucidum,Africa,1858
Ligustrum lucidum,Americas,1978
Ligustrum lucidum,Asia and the Pacific,1867
Ligustrum ovalifolium,Africa,1932
Ligustrum ovalifolium,Americas,1970
Ligustrum ovalifolium,Asia and the Pacific,1952
Ligustrum robustum,Africa,1895
Ligustrum sinense,Africa,1924
Ligustrum sinense,Americas,1850
Ligustrum sinense,Asia and the Pacific,1945
Ligustrum vulgare,Americas,1920
Lilioceris lilii,Americas,1992
Lilium bulbiferum,Europe and Central Asia,1807
Lilium formosanum,Africa,1962
Lilium formosanum,Asia and the Pacific,1924
Lilium lancifolium,Asia and the Pacific,1953
Limacus flavus,Europe and Central Asia,1950
Limax maximus,Europe and Central Asia,1870
Limnomysis benedeni,Europe and Central Asia,1946
Limnoperna fortunei,Americas,1991
Limnoperna fortunei,Asia and the Pacific,1991
Limnophila sessiliflora,Americas,1964
Limnoria quadripunctata,Europe and Central Asia,1968
Limonium duriusculum,Americas,2000
Linaria dalmatica,Americas,1915
Linaria maroccana,Americas,1935
Linaria pinifolia,Americas,1953
Linaria repens,Europe and Central Asia,1800
Linaria vulgaris,Americas,1820
Lindernia dubia,Asia and the Pacific,1936
Lindernia dubia,Europe and Central Asia,1927
Linepithema humile,Americas,1891
Linepithema humile,Asia and the Pacific,1905
Linepithema humile,Europe and Central Asia,1967
Linum bienne,Americas,1891
Liriomyza bryoniae,Asia and the Pacific,1984
Liriomyza huidobrensis,Asia and the Pacific,1993
Liriomyza huidobrensis,Europe and Central Asia,1989
Liriomyza sativae,Asia and the Pacific,1993
Liriomyza trifolii,Asia and the Pacific,1988
Lissachatina fulica,Africa,1803
Lissachatina fulica,Americas,1988
Lissachatina fulica,Asia and the Pacific,1900
Lissorhoptrus oryzophilus,Asia and the Pacific,1976
Lissorhoptrus oryzophilus,Europe and Central Asia,2004
Lithobates catesbeianus,Americas,1885
Lithobates catesbeianus,Asia and the Pacific,1918
Lithobates catesbeianus,Europe and Central Asia,1801
Lithobates grylio,Asia and the Pacific,1987
Litsea glutinosa,Africa,1902
Littorina littorea,Americas,1840
Liza carinata,Europe and Central Asia,1970
Lobularia maritima,Americas,1881
Lolium arundinaceum,Americas,1940
Lolium multiflorum,Americas,1882
Lolium multiflorum,Asia and the Pacific,1873
Lolium multiflorum,Europe and Central Asia,1899
Lolium perenne,Americas,1755
Lolium perenne,Asia and the Pacific,1843
Lolium perenne,Europe and Central Asia,1791
Lolium persicum,Asia and the Pacific,1958
Lolium pratense,Americas,1882
Lolium temulentum,Asia and the Pacific,1940
Lonchura atricapilla,Americas,2010
Lonchura atricapilla,Asia and the Pacific,1909
Lonchura malacca,Americas,2007
Lonchura malacca,Asia and the Pacific,1870
Lonchura punctulata,Americas,2013
Lonchura punctulata,Asia and the Pacific,1970
Lonchura striata,Asia and the Pacific,1985
Lonicera bella,Americas,1914
Lonicera caerulea,Europe and Central Asia,1872
Lonicera caprifolium,Europe and Central Asia,1800
Lonicera involucrata,Europe and Central Asia,1994
Lonicera japonica,Africa,1858
Lonicera japonica,Americas,1919
Lonicera japonica,Asia and the Pacific,1926
Lonicera japonica,Europe and Central Asia,1818
Lonicera maackii,Americas,1935
Lonicera morrowii,Americas,1926
Lonicera periclymenum,Americas,1919
Lonicera ruprechtiana,Europe and Central Asia,1883
Lonicera tatarica,Americas,1875
Lonicera tatarica,Europe and Central Asia,1888
Lonicera xylosteum,Americas,1884
Lophocladia lallemandii,Europe and Central Asia,1984
Lophospermum erubescens,Asia and the Pacific,1939
Lotus corniculatus,Americas,1753
Lotus corniculatus,Europe and Central Asia,1913
Lotus corniculatus corniculatus,Asia and the Pacific,1974
Lotus pedunculatus,Americas,1977
Lotus pedunculatus,Asia and the Pacific,1867
Lotus subbiflorus,Americas,2009
Lucilla scintilla,Europe and Central Asia,1976
Ludwigia grandiflora,Americas,1840
Ludwigia grandiflora,Europe and Central Asia,1820
Ludwigia palustris,Asia and the Pacific,1933
Ludwigia peploides,Asia and the Pacific,1929
Ludwigia peploides,Europe and Central Asia,1820
Ludwigia peruviana,Americas,1894
Lunaria annua,Americas,1907
Lupinus albus,Americas,1975
Lupinus angustifolius,Americas,1950
Lupinus arboreus,Americas,1881
Lupinus arboreus,Asia and the Pacific,1898
